city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Санкт-Петербург,1,1,92,764,1.0,плотный туман,1900,,27,-3,1,18.10.2025 03:06:07,2025-10-18T03:06:07.391289,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-0.8,домашний отдых,нет
Казань,7,5,85,764,4.24,пасмурно,10000,,100,7,7,18.10.2025 03:06:07,2025-10-18T03:06:07.391289,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.62,домашний отдых,нет
Сочи,11,10,63,767,2.8,пасмурно,10000,,100,11,11,18.10.2025 03:06:07,2025-10-18T03:06:07.391289,Южный,Май-Октябрь,UTC+3,400000,1.52,домашний отдых,да
Москва,6,4,77,763,2.38,небольшой дождь,10000,,100,5,6,18.10.2025 03:06:07,2025-10-18T03:06:07.391289,Центральный,Круглогодично,UTC+3,12500000,-3.24,домашний отдых,да
Новосибирск,-7,-7,93,774,1.0,ясно,10000,,0,-7,-7,18.10.2025 03:06:07,2025-10-18T03:06:07.391289,Сибирский,Июнь-Август,UTC+7,1620000,-1.5,домашний отдых,нет
