city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Сочи,10,9,70,762,3.17,облачно с прояснениями,10000.0,,63,10,10,15.11.2025 01:49:12,2025-11-15T01:49:12.578591,Южный,Май-Октябрь,UTC+3,400000,3.38,домашний отдых,нет
Москва,1,-1,71,754,2.2,снег,,,100,0,1,15.11.2025 01:49:12,2025-11-15T01:49:12.578591,Центральный,Круглогодично,UTC+3,12500000,-4.02,домашний отдых,да
Москва,1,-1,68,753,1.95,снег,,,100,0,1,15.11.2025 03:10:30,2025-11-15T03:10:30.585688,Центральный,Круглогодично,UTC+3,12500000,-3.4,домашний отдых,да
Казань,5,1,82,756,6.6,небольшой дождь,10000.0,,100,5,5,15.11.2025 03:10:30,2025-11-15T03:10:30.585688,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.06,домашний отдых,нет
Сочи,10,9,68,761,2.56,облачно с прояснениями,10000.0,,58,10,10,15.11.2025 03:10:30,2025-11-15T03:10:30.585688,Южный,Май-Октябрь,UTC+3,400000,4.34,домашний отдых,нет
Казань,5,1,81,756,6.68,небольшой дождь,10000.0,,100,5,5,15.11.2025 01:49:12,2025-11-15T01:49:12.578591,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.87,домашний отдых,нет
Санкт-Петербург,1,-3,94,751,3.0,небольшой снег,10000.0,,75,0,1,15.11.2025 01:49:12,2025-11-15T01:49:12.578591,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.2,домашний отдых,нет
Новосибирск,-12,-19,85,779,5.0,ясно,10000.0,,0,-12,-12,15.11.2025 01:49:12,2025-11-15T01:49:12.578591,Сибирский,Июнь-Август,UTC+7,1620000,-2.3,домашний отдых,нет
Новосибирск,-11,-18,79,779,5.0,ясно,10000.0,,0,-11,-11,15.11.2025 03:10:30,2025-11-15T03:10:30.585688,Сибирский,Июнь-Август,UTC+7,1620000,-0.7,домашний отдых,нет
Санкт-Петербург,0,-4,91,749,4.0,небольшой снег,10000.0,,75,0,0,15.11.2025 03:10:30,2025-11-15T03:10:30.585688,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.1,домашний отдых,нет
