city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Москва,10,10,81,757,1.32,пасмурно,10000,,91,10,10,11.10.2025 07:26:17,2025-10-11T07:26:17.569196,Центральный,Круглогодично,UTC+3,12500000,-1.43,домашний отдых,да
Санкт-Петербург,7,4,92,752,6.0,пасмурно,9000,,100,7,7,11.10.2025 06:44:29,2025-10-11T06:44:29.520457,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.2,домашний отдых,нет
Новосибирск,-1,-7,81,773,6.06,небольшая облачность,10000,,15,-1,-1,11.10.2025 07:26:17,2025-10-11T07:26:17.569196,Сибирский,Июнь-Август,UTC+7,1620000,1.29,домашний отдых,нет
Москва,8,7,85,757,2.19,пасмурно,10000,,100,8,8,11.10.2025 05:33:12,2025-10-11T05:33:12.571519,Центральный,Круглогодично,UTC+3,12500000,-4.02,домашний отдых,да
Новосибирск,-3,-6,74,774,2.0,ясно,10000,,0,-3,-3,11.10.2025 03:04:57,2025-10-11T03:04:57.898783,Сибирский,Июнь-Август,UTC+7,1620000,3.8,домашний отдых,нет
Новосибирск,1,-4,55,773,5.0,облачно с прояснениями,10000,,75,1,1,11.10.2025 09:29:06,2025-10-11T09:29:06.896705,Сибирский,Июнь-Август,UTC+7,1620000,1.4,домашний отдых,нет
Новосибирск,-2,-8,81,773,5.82,ясно,10000,,6,-2,-2,11.10.2025 05:33:12,2025-10-11T05:33:12.571519,Сибирский,Июнь-Август,UTC+7,1620000,1.82,домашний отдых,нет
Новосибирск,-3,-9,82,774,5.6,ясно,10000,,6,-3,-3,11.10.2025 04:37:33,2025-10-11T04:37:33.190721,Сибирский,Июнь-Август,UTC+7,1620000,1.24,домашний отдых,нет
Новосибирск,1,-4,55,773,5.0,облачно с прояснениями,10000,,75,1,1,11.10.2025 10:35:22,2025-10-11T10:35:22.838194,Сибирский,Июнь-Август,UTC+7,1620000,1.4,домашний отдых,нет
Санкт-Петербург,8,5,90,750,6.8,небольшой дождь,10000,,100,8,8,11.10.2025 07:26:17,2025-10-11T07:26:17.569196,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.48,домашний отдых,нет
Казань,17,16,30,759,6.23,пасмурно,10000,,92,17,17,11.10.2025 10:35:22,2025-10-11T10:35:22.838194,Приволжский,Май-Сентябрь,UTC+3,1250000,10.98,культурный туризм,нет
Сочи,18,18,69,763,6.94,небольшой дождь,10000,,72,18,18,11.10.2025 10:35:22,2025-10-11T10:35:22.838194,Южный,Май-Октябрь,UTC+3,400000,5.51,домашний отдых,да
Санкт-Петербург,9,6,89,752,8.0,облачно с прояснениями,8000,,75,9,10,11.10.2025 10:35:22,2025-10-11T10:35:22.838194,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-2.5,домашний отдых,нет
Москва,11,10,78,757,1.32,пасмурно,10000,,91,9,11,11.10.2025 06:44:29,2025-10-11T06:44:29.520457,Центральный,Круглогодично,UTC+3,12500000,-0.43,домашний отдых,да
Казань,13,12,33,761,6.5,облачно с прояснениями,10000,,72,13,13,11.10.2025 06:44:29,2025-10-11T06:44:29.520457,Приволжский,Май-Сентябрь,UTC+3,1250000,10.75,культурный туризм,нет
Сочи,17,17,78,764,6.72,дождь,10000,,93,17,17,11.10.2025 08:38:54,2025-10-11T08:38:54.968121,Южный,Май-Октябрь,UTC+3,400000,1.23,домашний отдых,да
Новосибирск,1,-4,55,773,5.0,переменная облачность,10000,,40,1,1,11.10.2025 08:38:54,2025-10-11T08:38:54.968121,Сибирский,Июнь-Август,UTC+7,1620000,4.9,домашний отдых,нет
Сочи,13,13,83,764,4.46,дождь,4992,,98,13,13,11.10.2025 06:44:29,2025-10-11T06:44:29.520457,Южный,Май-Октябрь,UTC+3,400000,-1.65,домашний отдых,да
Москва,12,12,74,756,1.35,пасмурно,10000,,85,10,12,11.10.2025 08:38:54,2025-10-11T08:38:54.968121,Центральный,Круглогодично,UTC+3,12500000,1.36,домашний отдых,да
Москва,13,13,68,756,1.85,облачно с прояснениями,10000,,79,11,14,11.10.2025 09:29:06,2025-10-11T09:29:06.896705,Центральный,Круглогодично,UTC+3,12500000,3.51,домашний отдых,да
Казань,11,9,41,761,4.77,облачно с прояснениями,10000,,83,11,11,11.10.2025 04:37:33,2025-10-11T04:37:33.190721,Приволжский,Май-Сентябрь,UTC+3,1250000,7.42,домашний отдых,нет
Казань,15,13,33,761,6.5,облачно с прояснениями,10000,,72,15,15,11.10.2025 07:26:17,2025-10-11T07:26:17.569196,Приволжский,Май-Сентябрь,UTC+3,1250000,11.55,культурный туризм,нет
Санкт-Петербург,11,11,86,749,8.0,облачно с прояснениями,10000,,75,11,11,11.10.2025 09:29:06,2025-10-11T09:29:06.896705,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-1.1,домашний отдых,нет
Сочи,15,14,83,764,3.38,небольшой дождь,9798,,99,15,15,11.10.2025 04:37:33,2025-10-11T04:37:33.190721,Южный,Май-Октябрь,UTC+3,400000,-0.84,домашний отдых,да
Казань,15,14,33,761,6.69,пасмурно,10000,,89,15,15,11.10.2025 08:38:54,2025-10-11T08:38:54.968121,Приволжский,Май-Сентябрь,UTC+3,1250000,9.83,домашний отдых,нет
Новосибирск,0,-6,55,773,6.0,ясно,10000,,0,0,0,11.10.2025 06:44:29,2025-10-11T06:44:29.520457,Сибирский,Июнь-Август,UTC+7,1620000,8.4,домашний отдых,нет
Москва,12,11,67,756,2.74,облачно с прояснениями,10000,,59,12,12,11.10.2025 11:23:42,2025-10-11T11:23:42.116239,Центральный,Круглогодично,UTC+3,12500000,5.23,домашний отдых,да
Казань,16,14,32,759,6.23,пасмурно,10000,,92,16,16,11.10.2025 11:23:42,2025-10-11T11:23:42.116239,Приволжский,Май-Сентябрь,UTC+3,1250000,10.18,культурный туризм,нет
Москва,10,9,79,757,2.96,пасмурно,10000,,100,9,10,11.10.2025 03:04:57,2025-10-11T03:04:57.898783,Центральный,Круглогодично,UTC+3,12500000,-2.1,домашний отдых,да
Санкт-Петербург,8,4,82,753,5.54,небольшой дождь,10000,,89,8,8,11.10.2025 04:37:33,2025-10-11T04:37:33.190721,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-2.65,домашний отдых,нет
Сочи,16,15,82,764,4.46,дождь,4992,,98,16,16,11.10.2025 07:26:17,2025-10-11T07:26:17.569196,Южный,Май-Октябрь,UTC+3,400000,-0.25,домашний отдых,да
Москва,8,7,87,757,2.19,пасмурно,10000,,100,8,8,11.10.2025 04:37:33,2025-10-11T04:37:33.190721,Центральный,Круглогодично,UTC+3,12500000,-4.42,домашний отдых,да
Казань,13,12,37,761,5.85,облачно с прояснениями,10000,,73,13,13,11.10.2025 05:33:12,2025-10-11T05:33:12.571519,Приволжский,Май-Сентябрь,UTC+3,1250000,9.91,домашний отдых,нет
Сочи,14,14,84,764,1.62,дождь,4497,,99,14,14,11.10.2025 03:04:57,2025-10-11T03:04:57.898783,Южный,Май-Октябрь,UTC+3,400000,-1.26,домашний отдых,да
Казань,8,6,45,762,3.67,пасмурно,10000,,98,8,8,11.10.2025 03:04:57,2025-10-11T03:04:57.898783,Приволжский,Май-Сентябрь,UTC+3,1250000,4.03,домашний отдых,нет
Санкт-Петербург,10,10,82,750,7.51,облачно с прояснениями,10000,,79,10,10,11.10.2025 11:23:42,2025-10-11T11:23:42.116239,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-1.05,домашний отдых,нет
Сочи,17,17,69,763,6.94,небольшой дождь,10000,,72,17,17,11.10.2025 11:23:42,2025-10-11T11:23:42.116239,Южный,Май-Октябрь,UTC+3,400000,5.11,домашний отдых,да
Казань,16,15,31,760,6.69,пасмурно,10000,,89,16,16,11.10.2025 09:29:06,2025-10-11T09:29:06.896705,Приволжский,Май-Сентябрь,UTC+3,1250000,10.63,культурный туризм,нет
Санкт-Петербург,7,5,88,752,4.0,переменная облачность,10000,,40,7,7,11.10.2025 03:04:57,2025-10-11T03:04:57.898783,Северо-Западный,Май-Сентябрь,UTC+3,5400000,0.8,домашний отдых,нет
Санкт-Петербург,8,5,83,752,5.87,небольшой дождь,10000,,91,8,8,11.10.2025 05:33:12,2025-10-11T05:33:12.571519,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.09,домашний отдых,нет
Санкт-Петербург,10,10,93,751,6.0,облачно с прояснениями,10000,,75,10,10,11.10.2025 08:38:54,2025-10-11T08:38:54.968121,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-2.7,домашний отдых,нет
Сочи,15,15,86,764,3.73,небольшой дождь,10000,,99,15,15,11.10.2025 05:33:12,2025-10-11T05:33:12.571519,Южный,Май-Октябрь,UTC+3,400000,-1.47,домашний отдых,да
Новосибирск,-2,-8,81,773,5.15,переменная облачность,10000,,43,-2,-2,11.10.2025 11:23:42,2025-10-11T11:23:42.116239,Сибирский,Июнь-Август,UTC+7,1620000,-1.82,домашний отдых,нет
