city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Сочи,24,25,85,758,6.11,небольшой дождь,10000,,100,24,24,28.10.2025 01:48:13,2025-10-28T01:48:13.478685,Южный,Май-Октябрь,UTC+3,400000,1.99,домашний отдых,да
Новосибирск,1,-3,93,768,3.0,пасмурно,10000,,100,1,1,28.10.2025 01:48:13,2025-10-28T01:48:13.478685,Сибирский,Июнь-Август,UTC+7,1620000,-8.5,домашний отдых,нет
Новосибирск,6,3,65,769,3.0,облачно с прояснениями,10000,,75,6,6,28.10.2025 07:22:48,2025-10-28T07:22:48.038907,Сибирский,Июнь-Август,UTC+7,1620000,1.6,домашний отдых,нет
Москва,6,4,57,749,2.85,пасмурно,10000,,100,5,7,28.10.2025 07:22:48,2025-10-28T07:22:48.038907,Центральный,Круглогодично,UTC+3,12500000,0.71,домашний отдых,да
Казань,7,4,94,755,6.9,небольшой дождь,10000,,100,7,7,28.10.2025 07:22:48,2025-10-28T07:22:48.038907,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.69,домашний отдых,нет
Казань,7,4,93,758,5.38,пасмурно,10000,,100,7,7,28.10.2025 03:10:29,2025-10-28T03:10:29.586772,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.34,домашний отдых,нет
Новосибирск,6,3,65,769,3.0,облачно с прояснениями,10000,,75,6,6,28.10.2025 06:36:22,2025-10-28T06:36:22.864009,Сибирский,Июнь-Август,UTC+7,1620000,1.6,домашний отдых,нет
Санкт-Петербург,6,4,90,745,2.0,облачно с прояснениями,10000,,75,5,6,28.10.2025 01:48:13,2025-10-28T01:48:13.478685,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.3,домашний отдых,нет
Сочи,20,21,92,759,0.68,небольшой дождь,7747,,100,20,20,28.10.2025 04:27:40,2025-10-28T04:27:40.531088,Южный,Май-Октябрь,UTC+3,400000,-0.47,домашний отдых,да
Санкт-Петербург,5,3,90,744,2.0,облачно с прояснениями,10000,,75,4,5,28.10.2025 03:10:29,2025-10-28T03:10:29.586772,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.7,домашний отдых,нет
