city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Санкт-Петербург,7,7,95,758,1.0,небольшой проливной дождь,7000,,100,7,7,03.11.2025 06:37:17,2025-11-03T06:37:17.469303,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.3,домашний отдых,нет
Новосибирск,0,0,100,758,1.0,небольшой снег,2300,,100,0,0,03.11.2025 15:25:41,2025-11-03T15:25:41.679691,Сибирский,Июнь-Август,UTC+7,1620000,-10.1,домашний отдых,нет
Казань,2,1,69,774,1.66,пасмурно,10000,,94,2,2,03.11.2025 12:50:50,2025-11-03T12:50:50.202333,Приволжский,Май-Сентябрь,UTC+3,1250000,-2.57,домашний отдых,нет
Москва,8,5,71,764,5.62,пасмурно,10000,,100,7,8,03.11.2025 14:24:37,2025-11-03T14:24:37.362926,Центральный,Круглогодично,UTC+3,12500000,-1.56,домашний отдых,да
Казань,-1,-1,62,773,0.86,пасмурно,10000,,100,-1,-1,03.11.2025 06:37:17,2025-11-03T06:37:17.469303,Приволжский,Май-Сентябрь,UTC+3,1250000,-2.89,домашний отдых,нет
Москва,8,5,73,764,5.39,пасмурно,10000,,100,7,8,03.11.2025 16:27:33,2025-11-03T16:27:33.675377,Центральный,Круглогодично,UTC+3,12500000,-1.94,домашний отдых,да
Москва,7,4,63,766,5.54,пасмурно,10000,,100,6,7,03.11.2025 10:27:46,2025-11-03T10:27:46.672292,Центральный,Круглогодично,UTC+3,12500000,-0.35,домашний отдых,да
Москва,4,1,70,768,4.02,пасмурно,10000,,100,3,5,03.11.2025 01:56:07,2025-11-03T01:56:07.664535,Центральный,Круглогодично,UTC+3,12500000,-2.8,домашний отдых,да
Санкт-Петербург,7,7,95,756,1.0,облачно с прояснениями,6000,,75,7,7,03.11.2025 05:24:35,2025-11-03T05:24:35.897100,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.8,домашний отдых,нет
Санкт-Петербург,8,8,95,758,1.0,пасмурно,10000,,100,8,8,03.11.2025 12:50:50,2025-11-03T12:50:50.202333,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.9,домашний отдых,нет
Москва,5,1,66,767,4.48,небольшой дождь,10000,,100,4,5,03.11.2025 06:37:17,2025-11-03T06:37:17.469303,Центральный,Круглогодично,UTC+3,12500000,-1.65,домашний отдых,да
Казань,-3,-5,75,773,1.41,ясно,10000,,6,-3,-3,03.11.2025 03:21:34,2025-11-03T03:21:34.156566,Приволжский,Май-Сентябрь,UTC+3,1250000,3.06,домашний отдых,нет
Санкт-Петербург,8,8,95,756,1.0,пасмурно,10000,,100,8,8,03.11.2025 10:27:46,2025-11-03T10:27:46.672292,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.9,домашний отдых,нет
Санкт-Петербург,8,8,95,758,0.0,пасмурно,10000,,100,8,8,03.11.2025 13:34:02,2025-11-03T13:34:02.286979,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.8,домашний отдых,нет
Казань,2,2,56,773,1.08,пасмурно,10000,,91,2,2,03.11.2025 08:33:28,2025-11-03T08:33:28.309130,Приволжский,Май-Сентябрь,UTC+3,1250000,0.39,домашний отдых,нет
Сочи,12,11,77,765,3.28,пасмурно,10000,,100,12,12,03.11.2025 17:21:30,2025-11-03T17:21:30.555606,Южный,Май-Октябрь,UTC+3,400000,-0.93,домашний отдых,нет
Казань,-2,-4,75,773,1.73,ясно,10000,,6,-2,-2,03.11.2025 01:56:07,2025-11-03T01:56:07.664535,Приволжский,Май-Сентябрь,UTC+3,1250000,3.43,домашний отдых,нет
Новосибирск,1,-3,100,759,3.0,снег,2000,,100,1,1,03.11.2025 09:29:17,2025-11-03T09:29:17.551037,Сибирский,Июнь-Август,UTC+7,1620000,-9.9,домашний отдых,нет
Сочи,11,10,77,765,3.31,пасмурно,10000,,100,11,11,03.11.2025 16:27:33,2025-11-03T16:27:33.675377,Южный,Май-Октябрь,UTC+3,400000,-1.33,домашний отдых,нет
Новосибирск,1,-4,100,760,4.0,небольшой снег,4700,,100,1,1,03.11.2025 07:23:37,2025-11-03T07:23:37.625910,Сибирский,Июнь-Август,UTC+7,1620000,-10.0,домашний отдых,нет
Санкт-Петербург,7,7,94,758,1.0,облачно с прояснениями,4900,,75,7,7,03.11.2025 04:32:35,2025-11-03T04:32:35.488441,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.6,домашний отдых,нет
