city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Санкт-Петербург,9,7,84,762,3.0,облачно с прояснениями,10000,,75,8,9,04.11.2025 13:37:16,2025-11-04T13:37:16.329238,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-1.0,домашний отдых,нет
Санкт-Петербург,8,5,91,761,5.0,пасмурно,10000,,100,8,8,04.11.2025 08:32:49,2025-11-04T08:32:49.876196,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.5,домашний отдых,нет
Сочи,12,12,86,766,2.9,пасмурно,10000,,100,12,12,04.11.2025 17:19:25,2025-11-04T17:19:25.507151,Южный,Май-Октябрь,UTC+3,400000,-2.69,домашний отдых,нет
Новосибирск,0,-3,100,761,2.0,туман,2200,,75,0,0,04.11.2025 03:13:32,2025-11-04T03:13:32.435004,Сибирский,Июнь-Август,UTC+7,1620000,-7.7,домашний отдых,нет
Новосибирск,-7,-12,93,767,3.0,небольшой снег,10000,,100,-7,-7,04.11.2025 19:19:11,2025-11-04T19:19:11.569284,Сибирский,Июнь-Август,UTC+7,1620000,-11.7,домашний отдых,нет
Казань,2,-3,81,771,6.84,небольшой дождь,10000,,100,2,2,04.11.2025 05:24:10,2025-11-04T05:24:10.359722,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.08,домашний отдых,нет
Санкт-Петербург,8,5,89,760,4.0,облачно с прояснениями,10000,,75,8,8,04.11.2025 09:27:34,2025-11-04T09:27:34.279114,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-2.5,домашний отдых,нет
Сочи,19,18,52,765,0.75,пасмурно,10000,,93,19,19,04.11.2025 09:27:34,2025-11-04T09:27:34.279114,Южный,Май-Октябрь,UTC+3,400000,7.82,домашний отдых,нет
Москва,8,5,72,762,5.61,пасмурно,10000,,100,7,8,04.11.2025 06:36:30,2025-11-04T06:36:30.502678,Центральный,Круглогодично,UTC+3,12500000,-1.76,домашний отдых,да
Сочи,18,17,54,764,0.64,пасмурно,10000,,96,18,18,04.11.2025 11:21:45,2025-11-04T11:21:45.980362,Южный,Май-Октябрь,UTC+3,400000,6.74,домашний отдых,нет
Санкт-Петербург,7,4,91,761,4.0,переменная облачность,10000,,40,6,7,04.11.2025 19:19:11,2025-11-04T19:19:11.569284,Северо-Западный,Май-Сентябрь,UTC+3,5400000,0.2,домашний отдых,нет
Сочи,17,16,48,765,0.96,пасмурно,10000,,97,17,17,04.11.2025 07:23:48,2025-11-04T07:23:48.546901,Южный,Май-Октябрь,UTC+3,400000,7.4,домашний отдых,нет
Санкт-Петербург,7,5,91,762,2.0,переменная облачность,10000,,40,6,7,04.11.2025 18:34:32,2025-11-04T18:34:32.076474,Северо-Западный,Май-Сентябрь,UTC+3,5400000,0.4,домашний отдых,нет
Казань,3,-2,74,771,7.71,пасмурно,10000,,100,3,3,04.11.2025 07:23:48,2025-11-04T07:23:48.546901,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.37,домашний отдых,нет
Казань,4,-1,64,769,7.96,пасмурно,10000,,100,4,4,04.11.2025 12:52:58,2025-11-04T12:52:58.786686,Приволжский,Май-Сентябрь,UTC+3,1250000,-2.0,домашний отдых,нет
Сочи,9,8,67,764,2.67,пасмурно,10000,,96,9,9,04.11.2025 03:13:32,2025-11-04T03:13:32.435004,Южный,Май-Октябрь,UTC+3,400000,0.33,домашний отдых,нет
