city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Санкт-Петербург,2,-3,91,760,6.0,пасмурно,10000,,100,2,2,30.11.2025 03:58:45,2025-11-30T03:58:45.800451,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-8.0,домашний отдых,нет
Санкт-Петербург,2,-4,91,758,7.0,пасмурно,10000,,100,1,2,30.11.2025 02:05:22,2025-11-30T02:05:22.634764,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-8.1,домашний отдых,нет
Новосибирск,-30,-30,76,778,1.0,ясно,10000,,0,-30,-30,30.11.2025 02:05:22,2025-11-30T02:05:22.634764,Сибирский,Июнь-Август,UTC+7,1620000,-7.3,домашний отдых,нет
Сочи,8,6,54,759,3.21,облачно с прояснениями,10000,,80,8,8,30.11.2025 03:58:45,2025-11-30T03:58:45.800451,Южный,Май-Октябрь,UTC+3,400000,4.08,домашний отдых,нет
Сочи,10,8,52,759,4.05,облачно с прояснениями,10000,,82,10,10,30.11.2025 02:05:22,2025-11-30T02:05:22.634764,Южный,Май-Октябрь,UTC+3,400000,4.99,домашний отдых,нет
Москва,2,-1,65,767,2.65,пасмурно,10000,,100,1,2,30.11.2025 02:05:22,2025-11-30T02:05:22.634764,Центральный,Круглогодично,UTC+3,12500000,-2.46,домашний отдых,да
Казань,4,2,78,770,2.18,пасмурно,10000,,100,4,4,30.11.2025 03:58:45,2025-11-30T03:58:45.800451,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.22,домашний отдых,нет
Москва,1,-1,66,767,2.34,пасмурно,10000,,100,1,1,30.11.2025 03:58:45,2025-11-30T03:58:45.800451,Центральный,Круглогодично,UTC+3,12500000,-3.03,домашний отдых,да
Новосибирск,-29,-36,76,777,2.0,ясно,10000,,0,-29,-29,30.11.2025 03:58:45,2025-11-30T03:58:45.800451,Сибирский,Июнь-Август,UTC+7,1620000,-7.0,домашний отдых,нет
Казань,4,3,80,770,1.51,пасмурно,10000,,100,4,4,30.11.2025 02:05:22,2025-11-30T02:05:22.634764,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.55,домашний отдых,нет
