city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,1,-5,100,758,6.0,снег,5000.0,,100,1,1,12.11.2025 04:29:12,2025-11-12T04:29:12.765930,Сибирский,Июнь-Август,UTC+7,1620000,-10.2,домашний отдых,нет
Сочи,20,20,70,763,1.7,небольшой дождь,10000.0,,100,20,20,12.11.2025 10:27:47,2025-11-12T10:27:47.317741,Южный,Май-Октябрь,UTC+3,400000,3.83,домашний отдых,нет
Москва,5,1,81,764,4.5,пасмурно,10000.0,,100,4,5,12.11.2025 14:25:50,2025-11-12T14:25:50.192722,Центральный,Круглогодично,UTC+3,12500000,-4.65,домашний отдых,да
Новосибирск,1,-5,93,757,6.0,небольшой снег,10000.0,,100,1,1,12.11.2025 12:51:44,2025-11-12T12:51:44.501661,Сибирский,Июнь-Август,UTC+7,1620000,-8.8,домашний отдых,нет
Новосибирск,1,-5,93,758,6.0,небольшой снег,10000.0,,100,1,1,12.11.2025 15:27:37,2025-11-12T15:27:37.857221,Сибирский,Июнь-Август,UTC+7,1620000,-8.8,домашний отдых,нет
Москва,4,0,84,764,5.0,небольшой дождь,10000.0,,100,4,4,12.11.2025 07:23:41,2025-11-12T07:23:41.747245,Центральный,Круглогодично,UTC+3,12500000,-5.7,домашний отдых,да
Санкт-Петербург,6,3,90,761,4.0,пасмурно,10000.0,,100,6,6,12.11.2025 10:27:47,2025-11-12T10:27:47.317741,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.0,домашний отдых,нет
Санкт-Петербург,6,2,89,761,5.0,облачно с прояснениями,10000.0,,75,6,6,12.11.2025 12:51:44,2025-11-12T12:51:44.501661,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.4,домашний отдых,нет
Москва,4,0,93,764,4.87,небольшой дождь,10000.0,,100,4,4,12.11.2025 10:27:47,2025-11-12T10:27:47.317741,Центральный,Круглогодично,UTC+3,12500000,-7.49,домашний отдых,да
Новосибирск,1,-4,93,756,5.0,снег,6000.0,,100,1,1,12.11.2025 09:26:58,2025-11-12T09:26:58.164123,Сибирский,Июнь-Август,UTC+7,1620000,-8.7,домашний отдых,нет
Новосибирск,1,-5,100,757,6.0,снег,5000.0,,100,1,1,12.11.2025 05:24:43,2025-11-12T05:24:43.911609,Сибирский,Июнь-Август,UTC+7,1620000,-10.2,домашний отдых,нет
Санкт-Петербург,6,3,91,761,4.0,пасмурно,10000.0,,100,6,6,12.11.2025 09:26:58,2025-11-12T09:26:58.164123,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.2,домашний отдых,нет
Москва,3,-1,91,764,4.88,пасмурно,10000.0,,100,3,4,12.11.2025 11:21:05,2025-11-12T11:21:05.745559,Центральный,Круглогодично,UTC+3,12500000,-7.49,домашний отдых,да
Санкт-Петербург,6,3,93,762,5.0,пасмурно,10000.0,,100,6,6,12.11.2025 06:36:14,2025-11-12T06:36:14.026000,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.7,домашний отдых,нет
