city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,2,-2,100,770,4.0,ясно,10000,,0,2,2,29.10.2025 01:55:01,2025-10-29T01:55:01.514515,Сибирский,Июнь-Август,UTC+7,1620000,0.4,домашний отдых,нет
Москва,6,3,57,753,3.44,пасмурно,10000,,100,5,6,29.10.2025 06:36:45,2025-10-29T06:36:45.085145,Центральный,Круглогодично,UTC+3,12500000,0.66,домашний отдых,да
Сочи,17,17,76,764,7.37,пасмурно,10000,,100,17,17,29.10.2025 09:25:26,2025-10-29T09:25:26.943028,Южный,Май-Октябрь,UTC+3,400000,0.86,домашний отдых,да
Казань,8,6,87,758,3.07,небольшой дождь,10000,,100,8,8,29.10.2025 11:20:29,2025-10-29T11:20:29.563795,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.51,домашний отдых,нет
Москва,8,6,56,755,3.39,пасмурно,10000,,100,7,8,29.10.2025 12:51:26,2025-10-29T12:51:26.985487,Центральный,Круглогодично,UTC+3,12500000,1.66,домашний отдых,да
Казань,8,6,75,758,3.4,пасмурно,10000,,100,8,8,29.10.2025 09:25:26,2025-10-29T09:25:26.943028,Приволжский,Май-Сентябрь,UTC+3,1250000,-2.14,домашний отдых,нет
Москва,8,6,57,754,3.39,пасмурно,10000,,100,7,8,29.10.2025 11:20:29,2025-10-29T11:20:29.563795,Центральный,Круглогодично,UTC+3,12500000,1.46,домашний отдых,да
Новосибирск,7,4,76,770,3.0,ясно,10000,,0,7,7,29.10.2025 11:20:29,2025-10-29T11:20:29.563795,Сибирский,Июнь-Август,UTC+7,1620000,7.3,домашний отдых,нет
Москва,6,3,73,752,4.08,пасмурно,10000,,100,5,6,29.10.2025 05:24:53,2025-10-29T05:24:53.811224,Центральный,Круглогодично,UTC+3,12500000,-2.61,домашний отдых,да
Казань,7,5,91,757,2.77,пасмурно,10000,,100,7,7,29.10.2025 04:30:43,2025-10-29T04:30:43.403602,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.68,домашний отдых,нет
Санкт-Петербург,6,4,91,747,3.0,пасмурно,10000,,100,6,6,29.10.2025 07:23:12,2025-10-29T07:23:12.688592,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.1,домашний отдых,нет
Санкт-Петербург,7,5,88,748,3.0,облачно с прояснениями,10000,,75,7,7,29.10.2025 10:26:37,2025-10-29T10:26:37.280691,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-2.6,домашний отдых,нет
