city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,-5,-10,63,775,3.0,пасмурно,10000,,100,-5,-5,13.10.2025 03:33:53,2025-10-13T03:33:53.452871,Сибирский,Июнь-Август,UTC+7,1620000,-4.9,домашний отдых,нет
Сочи,13,12,79,764,1.96,небольшой дождь,10000,,99,13,13,13.10.2025 05:38:50,2025-10-13T05:38:50.330114,Южный,Май-Октябрь,UTC+3,400000,-0.7,домашний отдых,да
Санкт-Петербург,4,2,92,752,3.0,пасмурно,10000,,100,4,5,13.10.2025 03:33:53,2025-10-13T03:33:53.452871,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.1,домашний отдых,нет
Казань,8,7,75,757,2.13,пасмурно,10000,,95,8,8,13.10.2025 04:42:27,2025-10-13T04:42:27.159143,Приволжский,Май-Сентябрь,UTC+3,1250000,-1.51,домашний отдых,нет
Казань,6,4,60,757,2.91,пасмурно,10000,,96,6,6,13.10.2025 05:38:50,2025-10-13T05:38:50.330114,Приволжский,Май-Сентябрь,UTC+3,1250000,0.51,домашний отдых,нет
Москва,6,3,91,747,3.0,небольшой дождь,7731,,100,6,6,13.10.2025 04:42:27,2025-10-13T04:42:27.159143,Центральный,Круглогодично,UTC+3,12500000,-6.1,домашний отдых,да
Казань,6,5,81,757,1.8,пасмурно,10000,,93,6,6,13.10.2025 03:33:53,2025-10-13T03:33:53.452871,Приволжский,Май-Сентябрь,UTC+3,1250000,-3.28,домашний отдых,нет
Санкт-Петербург,5,3,92,753,3.0,пасмурно,10000,,100,5,5,13.10.2025 05:38:50,2025-10-13T05:38:50.330114,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.7,домашний отдых,нет
Новосибирск,-3,-9,59,775,5.0,облачно с прояснениями,10000,,75,-3,-3,13.10.2025 05:38:50,2025-10-13T05:38:50.330114,Сибирский,Июнь-Август,UTC+7,1620000,-1.0,домашний отдых,нет
Москва,4,2,74,748,2.52,небольшой дождь,7709,,100,3,5,13.10.2025 05:38:50,2025-10-13T05:38:50.330114,Центральный,Круглогодично,UTC+3,12500000,-3.45,домашний отдых,да
Сочи,14,13,80,764,2.17,небольшой дождь,10000,,100,14,14,13.10.2025 04:42:27,2025-10-13T04:42:27.159143,Южный,Май-Октябрь,UTC+3,400000,-0.62,домашний отдых,да
Сочи,12,11,80,764,1.73,небольшой дождь,10000,,98,12,12,13.10.2025 03:33:53,2025-10-13T03:33:53.452871,Южный,Май-Октябрь,UTC+3,400000,-1.17,домашний отдых,да
Санкт-Петербург,4,1,92,753,3.84,пасмурно,5399,,100,4,4,13.10.2025 04:42:27,2025-10-13T04:42:27.159143,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.18,домашний отдых,нет
Новосибирск,-3,-9,71,775,4.67,ясно,10000,,5,-3,-3,13.10.2025 04:42:27,2025-10-13T04:42:27.159143,Сибирский,Июнь-Август,UTC+7,1620000,3.63,домашний отдых,нет
Москва,4,0,61,747,4.08,дождь,1461,,100,3,4,13.10.2025 03:33:53,2025-10-13T03:33:53.452871,Центральный,Круглогодично,UTC+3,12500000,-1.01,домашний отдых,да
