city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Сочи,10,9,56,764,2.88,пасмурно,10000,,97,10,10,29.11.2025 05:23:47,2025-11-29T05:23:47.314843,Южный,Май-Октябрь,UTC+3,400000,2.81,домашний отдых,нет
Санкт-Петербург,1,-3,94,758,4.0,небольшой снег,10000,,100,1,1,29.11.2025 07:22:11,2025-11-29T07:22:11.930384,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-8.8,домашний отдых,нет
Новосибирск,-24,-24,77,783,1.0,ясно,10000,,0,-24,-24,29.11.2025 07:22:11,2025-11-29T07:22:11.930384,Сибирский,Июнь-Август,UTC+7,1620000,-5.1,домашний отдых,нет
Сочи,8,6,61,764,2.77,пасмурно,10000,,100,8,8,29.11.2025 01:50:59,2025-11-29T01:50:59.323108,Южный,Май-Октябрь,UTC+3,400000,0.72,домашний отдых,нет
Санкт-Петербург,2,-1,92,757,3.0,пасмурно,10000,,100,2,2,29.11.2025 04:28:55,2025-11-29T04:28:55.987433,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.9,домашний отдых,нет
Казань,4,4,97,767,1.12,пасмурно,10000,,100,4,4,29.11.2025 04:28:55,2025-11-29T04:28:55.987433,Приволжский,Май-Сентябрь,UTC+3,1250000,-7.91,домашний отдых,нет
Сочи,17,16,53,764,1.68,ясно,10000,,1,17,17,29.11.2025 08:30:39,2025-11-29T08:30:39.677071,Южный,Май-Октябрь,UTC+3,400000,15.93,активный туризм,нет
Сочи,9,8,65,764,2.62,пасмурно,10000,,100,9,9,29.11.2025 03:15:41,2025-11-29T03:15:41.704730,Южный,Май-Октябрь,UTC+3,400000,0.34,домашний отдых,нет
Новосибирск,-24,-24,77,782,1.0,ясно,10000,,0,-24,-24,29.11.2025 08:30:39,2025-11-29T08:30:39.677071,Сибирский,Июнь-Август,UTC+7,1620000,-5.1,домашний отдых,нет
Санкт-Петербург,2,-1,93,758,3.0,пасмурно,10000,,100,1,2,29.11.2025 06:34:35,2025-11-29T06:34:35.712753,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-8.1,домашний отдых,нет
