city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Санкт-Петербург,7,6,95,760,2.0,небольшой дождь,10000,,100,7,7,08.11.2025 05:22:15,2025-11-08T05:22:15.022683,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.4,домашний отдых,нет
Сочи,22,22,48,764,0.54,пасмурно,10000,,88,22,22,08.11.2025 08:28:18,2025-11-08T08:28:18.956157,Южный,Май-Октябрь,UTC+3,400000,10.35,культурный туризм,нет
Сочи,20,20,58,764,2.0,пасмурно,10000,,100,20,20,08.11.2025 07:20:36,2025-11-08T07:20:36.564885,Южный,Май-Октябрь,UTC+3,400000,6.2,домашний отдых,нет
Санкт-Петербург,7,6,93,762,2.0,пасмурно,10000,,100,7,7,08.11.2025 06:31:53,2025-11-08T06:31:53.504137,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.0,домашний отдых,нет
Новосибирск,0,-7,86,755,8.0,снег,7000,,100,0,0,08.11.2025 10:22:11,2025-11-08T10:22:11.750459,Сибирский,Июнь-Август,UTC+7,1620000,-8.0,домашний отдых,нет
Казань,7,5,87,760,4.01,пасмурно,10000,,100,7,7,08.11.2025 01:45:43,2025-11-08T01:45:43.168487,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.0,домашний отдых,нет
Сочи,14,13,63,763,1.97,пасмурно,10000,,99,14,14,08.11.2025 04:27:27,2025-11-08T04:27:27.724485,Южный,Май-Октябрь,UTC+3,400000,2.9,домашний отдых,нет
Казань,7,4,94,755,6.71,небольшой дождь,10000,,100,7,7,08.11.2025 10:22:11,2025-11-08T10:22:11.750459,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.67,домашний отдых,нет
Санкт-Петербург,7,6,93,762,2.0,пасмурно,10000,,100,7,7,08.11.2025 07:20:36,2025-11-08T07:20:36.564885,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.0,домашний отдых,нет
Сочи,23,23,42,764,0.95,облачно с прояснениями,10000,,72,23,23,08.11.2025 09:21:56,2025-11-08T09:21:56.368621,Южный,Май-Октябрь,UTC+3,400000,13.51,культурный туризм,нет
Новосибирск,0,-7,93,755,8.0,снег,1400,,100,0,0,08.11.2025 08:28:18,2025-11-08T08:28:18.956157,Сибирский,Июнь-Август,UTC+7,1620000,-9.4,домашний отдых,нет
Новосибирск,0,-5,93,758,5.0,снег,1900,,100,0,0,08.11.2025 04:27:27,2025-11-08T04:27:27.724485,Сибирский,Июнь-Август,UTC+7,1620000,-9.1,домашний отдых,нет
Казань,7,4,94,755,6.44,дождь,10000,,100,7,7,08.11.2025 09:21:56,2025-11-08T09:21:56.368621,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.64,домашний отдых,нет
Казань,7,4,93,757,5.09,дождь,6915,,100,7,7,08.11.2025 06:31:53,2025-11-08T06:31:53.504137,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.31,домашний отдых,нет
Москва,10,7,84,762,5.45,пасмурно,10000,,100,8,10,08.11.2025 07:20:36,2025-11-08T07:20:36.564885,Центральный,Круглогодично,UTC+3,12500000,-3.35,домашний отдых,да
Новосибирск,0,-6,93,756,7.0,снег,1200,,100,0,0,08.11.2025 07:20:36,2025-11-08T07:20:36.564885,Сибирский,Июнь-Август,UTC+7,1620000,-9.3,домашний отдых,нет
Казань,7,5,91,759,4.24,пасмурно,10000,,100,7,7,08.11.2025 04:27:27,2025-11-08T04:27:27.724485,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.82,домашний отдых,нет
Москва,9,6,79,761,5.15,пасмурно,10000,,100,8,9,08.11.2025 04:27:27,2025-11-08T04:27:27.724485,Центральный,Круглогодично,UTC+3,12500000,-2.72,домашний отдых,да
Казань,6,4,91,760,3.85,пасмурно,10000,,100,6,6,08.11.2025 03:05:47,2025-11-08T03:05:47.213988,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.18,домашний отдых,нет
Сочи,14,13,67,764,3.15,небольшой дождь,10000,,99,14,14,08.11.2025 05:22:15,2025-11-08T05:22:15.022683,Южный,Май-Октябрь,UTC+3,400000,1.98,домашний отдых,нет
Москва,12,11,68,762,5.05,пасмурно,10000,,100,10,12,08.11.2025 09:21:56,2025-11-08T09:21:56.368621,Центральный,Круглогодично,UTC+3,12500000,0.7,домашний отдых,да
Санкт-Петербург,8,6,96,759,3.0,туман,2900,,100,8,8,08.11.2025 03:05:47,2025-11-08T03:05:47.213988,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.3,домашний отдых,нет
Сочи,23,23,46,764,0.13,облачно с прояснениями,10000,,76,23,23,08.11.2025 10:22:11,2025-11-08T10:22:11.750459,Южный,Май-Октябрь,UTC+3,400000,12.39,культурный туризм,нет
Сочи,15,14,63,763,2.49,небольшой дождь,10000,,100,15,15,08.11.2025 01:45:43,2025-11-08T01:45:43.168487,Южный,Май-Октябрь,UTC+3,400000,3.15,домашний отдых,нет
Санкт-Петербург,7,7,95,760,1.0,небольшой дождь,4000,,100,7,7,08.11.2025 04:27:27,2025-11-08T04:27:27.724485,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.3,домашний отдых,нет
Сочи,15,14,60,763,4.08,пасмурно,10000,,100,15,15,08.11.2025 03:05:47,2025-11-08T03:05:47.213988,Южный,Май-Октябрь,UTC+3,400000,3.59,домашний отдых,нет
Москва,9,6,78,761,5.37,пасмурно,10000,,100,8,9,08.11.2025 05:22:15,2025-11-08T05:22:15.022683,Центральный,Круглогодично,UTC+3,12500000,-2.54,домашний отдых,да
Казань,8,5,93,757,5.29,небольшой дождь,8953,,100,8,8,08.11.2025 07:20:36,2025-11-08T07:20:36.564885,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.93,домашний отдых,нет
Казань,8,5,94,756,5.28,дождь,7811,,100,8,8,08.11.2025 08:28:18,2025-11-08T08:28:18.956157,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.13,домашний отдых,нет
Казань,7,5,90,758,4.25,пасмурно,10000,,100,7,7,08.11.2025 05:22:15,2025-11-08T05:22:15.022683,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.62,домашний отдых,нет
Санкт-Петербург,7,5,92,761,3.0,пасмурно,10000,,100,7,7,08.11.2025 08:28:18,2025-11-08T08:28:18.956157,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.9,домашний отдых,нет
Москва,12,11,70,762,5.26,пасмурно,10000,,100,9,12,08.11.2025 08:28:18,2025-11-08T08:28:18.956157,Центральный,Круглогодично,UTC+3,12500000,0.27,домашний отдых,да
Новосибирск,0,-6,80,760,6.0,небольшой снег,10000,,100,0,0,08.11.2025 01:45:43,2025-11-08T01:45:43.168487,Сибирский,Июнь-Август,UTC+7,1620000,-6.6,домашний отдых,нет
Новосибирск,0,-6,93,758,6.0,снег,2100,,100,0,0,08.11.2025 05:22:15,2025-11-08T05:22:15.022683,Сибирский,Июнь-Август,UTC+7,1620000,-9.2,домашний отдых,нет
Санкт-Петербург,7,5,91,761,3.0,пасмурно,10000,,100,7,7,08.11.2025 09:21:56,2025-11-08T09:21:56.368621,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.7,домашний отдых,нет
Новосибирск,0,-7,93,755,8.0,снег,2000,,100,0,0,08.11.2025 09:21:56,2025-11-08T09:21:56.368621,Сибирский,Июнь-Август,UTC+7,1620000,-9.4,домашний отдых,нет
Москва,12,11,62,762,4.8,пасмурно,10000,,100,10,12,08.11.2025 10:22:11,2025-11-08T10:22:11.750459,Центральный,Круглогодично,UTC+3,12500000,1.92,домашний отдых,да
Новосибирск,0,-6,86,759,6.0,небольшой снег,10000,,100,0,0,08.11.2025 03:05:47,2025-11-08T03:05:47.213988,Сибирский,Июнь-Август,UTC+7,1620000,-7.8,домашний отдых,нет
Сочи,18,17,58,764,3.14,пасмурно,10000,,100,18,18,08.11.2025 06:31:53,2025-11-08T06:31:53.504137,Южный,Май-Октябрь,UTC+3,400000,5.29,домашний отдых,нет
Москва,9,6,78,761,5.19,пасмурно,10000,,100,8,10,08.11.2025 03:05:47,2025-11-08T03:05:47.213988,Центральный,Круглогодично,UTC+3,12500000,-2.52,домашний отдых,да
Москва,10,7,76,762,5.54,пасмурно,10000,,100,8,10,08.11.2025 06:31:53,2025-11-08T06:31:53.504137,Центральный,Круглогодично,UTC+3,12500000,-1.75,домашний отдых,да
Москва,10,7,81,762,5.11,пасмурно,10000,,100,9,10,08.11.2025 01:45:43,2025-11-08T01:45:43.168487,Центральный,Круглогодично,UTC+3,12500000,-2.71,домашний отдых,да
Новосибирск,0,-6,93,756,6.0,снег,1400,,100,0,0,08.11.2025 06:31:53,2025-11-08T06:31:53.504137,Сибирский,Июнь-Август,UTC+7,1620000,-9.2,домашний отдых,нет
Санкт-Петербург,8,5,96,760,4.0,туман,4700,,100,8,9,08.11.2025 01:45:43,2025-11-08T01:45:43.168487,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.4,домашний отдых,нет
