city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,1,-3,86,767,3.0,ясно,10000,,0,1,1,31.10.2025 01:50:49,2025-10-31T01:50:49.744543,Сибирский,Июнь-Август,UTC+7,1620000,2.9,домашний отдых,нет
Казань,2,0,91,763,1.84,переменная облачность,10000,,48,2,2,31.10.2025 03:14:25,2025-10-31T03:14:25.012314,Приволжский,Май-Сентябрь,UTC+3,1250000,-2.38,домашний отдых,нет
Санкт-Петербург,6,3,89,752,5.0,облачно с прояснениями,10000,,75,6,6,31.10.2025 01:50:49,2025-10-31T01:50:49.744543,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.4,домашний отдых,нет
Сочи,9,7,62,767,3.61,пасмурно,10000,,96,9,9,31.10.2025 01:50:49,2025-10-31T01:50:49.744543,Южный,Май-Октябрь,UTC+3,400000,1.24,домашний отдых,да
Новосибирск,1,-3,93,767,3.0,ясно,10000,,0,1,1,31.10.2025 03:14:25,2025-10-31T03:14:25.012314,Сибирский,Июнь-Август,UTC+7,1620000,1.5,домашний отдых,нет
Казань,4,3,91,763,1.79,облачно с прояснениями,10000,,69,4,4,31.10.2025 01:50:49,2025-10-31T01:50:49.744543,Приволжский,Май-Сентябрь,UTC+3,1250000,-3.68,домашний отдых,нет
Санкт-Петербург,6,2,90,752,6.0,небольшой дождь,10000,,75,6,6,31.10.2025 03:14:25,2025-10-31T03:14:25.012314,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-3.7,домашний отдых,нет
Москва,7,4,74,758,4.81,пасмурно,10000,,100,6,7,31.10.2025 01:50:49,2025-10-31T01:50:49.744543,Центральный,Круглогодично,UTC+3,12500000,-2.48,домашний отдых,да
Москва,7,4,74,758,5.29,пасмурно,10000,,100,6,7,31.10.2025 03:14:25,2025-10-31T03:14:25.012314,Центральный,Круглогодично,UTC+3,12500000,-2.53,домашний отдых,да
Сочи,8,6,69,767,3.76,облачно с прояснениями,10000,,78,8,8,31.10.2025 03:14:25,2025-10-31T03:14:25.012314,Южный,Май-Октябрь,UTC+3,400000,1.22,домашний отдых,да
