city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,-6,-13,79,774,6.0,небольшой снег,10000,,100,-6,-6,22.11.2025 01:48:02,2025-11-22T01:48:02.264186,Сибирский,Июнь-Август,UTC+7,1620000,-8.8,домашний отдых,нет
Казань,2,-2,96,765,5.49,дождь,7003,,100,2,2,22.11.2025 01:48:02,2025-11-22T01:48:02.264186,Приволжский,Май-Сентябрь,UTC+3,1250000,-8.95,домашний отдых,нет
Москва,3,3,67,762,0.27,пасмурно,10000,,100,0,3,22.11.2025 01:48:02,2025-11-22T01:48:02.264186,Центральный,Круглогодично,UTC+3,12500000,-2.23,домашний отдых,да
Санкт-Петербург,1,-2,91,758,2.0,облачно с прояснениями,10000,,75,0,1,22.11.2025 01:48:02,2025-11-22T01:48:02.264186,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.5,домашний отдых,нет
Сочи,8,6,59,767,3.49,пасмурно,10000,,100,8,8,22.11.2025 01:48:02,2025-11-22T01:48:02.264186,Южный,Май-Октябрь,UTC+3,400000,1.05,домашний отдых,нет
