city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Москва,3,3,75,762,1.3,пасмурно,10000,,94,1,4,16.10.2025 03:16:44,2025-10-16T03:16:44.076463,Центральный,Круглогодично,UTC+3,12500000,-3.33,домашний отдых,да
Новосибирск,2,2,51,783,1.0,ясно,10000,,0,2,2,16.10.2025 06:52:01,2025-10-16T06:52:01.735074,Сибирский,Июнь-Август,UTC+7,1620000,10.5,культурный туризм,нет
Казань,3,0,76,764,3.39,облачно с прояснениями,10000,,53,3,3,16.10.2025 05:36:14,2025-10-16T05:36:14.023784,Приволжский,Май-Сентябрь,UTC+3,1250000,0.36,домашний отдых,нет
Санкт-Петербург,8,6,93,754,4.0,пасмурно,10000,,100,8,8,16.10.2025 06:52:01,2025-10-16T06:52:01.735074,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.8,домашний отдых,нет
Санкт-Петербург,7,3,94,754,5.0,пасмурно,10000,,100,7,7,16.10.2025 03:16:44,2025-10-16T03:16:44.076463,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.5,домашний отдых,нет
Новосибирск,2,-1,51,782,2.0,ясно,10000,,0,2,2,16.10.2025 07:32:34,2025-10-16T07:32:34.311026,Сибирский,Июнь-Август,UTC+7,1620000,10.4,культурный туризм,нет
Новосибирск,-1,-1,64,783,1.0,ясно,10000,,0,-1,-1,16.10.2025 05:36:14,2025-10-16T05:36:14.023784,Сибирский,Июнь-Август,UTC+7,1620000,6.7,домашний отдых,нет
Новосибирск,-4,-4,80,783,0.0,ясно,10000,,0,-4,-4,16.10.2025 04:40:27,2025-10-16T04:40:27.260933,Сибирский,Июнь-Август,UTC+7,1620000,2.4,домашний отдых,нет
Санкт-Петербург,7,4,94,755,5.0,пасмурно,10000,,100,7,7,16.10.2025 04:40:27,2025-10-16T04:40:27.260933,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.5,домашний отдых,нет
Москва,5,2,79,763,2.72,пасмурно,10000,,85,3,5,16.10.2025 06:52:01,2025-10-16T06:52:01.735074,Центральный,Круглогодично,UTC+3,12500000,-2.57,домашний отдых,да
Сочи,14,13,72,767,1.18,небольшой дождь,10000,,100,14,14,16.10.2025 05:36:14,2025-10-16T05:36:14.023784,Южный,Май-Октябрь,UTC+3,400000,1.08,домашний отдых,да
Сочи,15,14,71,767,1.16,небольшой дождь,10000,,93,15,15,16.10.2025 06:52:01,2025-10-16T06:52:01.735074,Южный,Май-Октябрь,UTC+3,400000,2.38,домашний отдых,да
Москва,3,1,74,762,1.95,пасмурно,10000,,96,2,4,16.10.2025 04:40:27,2025-10-16T04:40:27.260933,Центральный,Круглогодично,UTC+3,12500000,-3.4,домашний отдых,да
Санкт-Петербург,8,5,94,754,5.0,пасмурно,10000,,100,8,8,16.10.2025 05:36:14,2025-10-16T05:36:14.023784,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-6.1,домашний отдых,нет
Новосибирск,-8,-8,86,784,1.0,ясно,10000,,0,-8,-8,16.10.2025 03:16:44,2025-10-16T03:16:44.076463,Сибирский,Июнь-Август,UTC+7,1620000,-0.5,домашний отдых,нет
Сочи,16,16,72,767,1.88,небольшой дождь,10000,,84,16,16,16.10.2025 07:32:34,2025-10-16T07:32:34.311026,Южный,Май-Октябрь,UTC+3,400000,3.41,домашний отдых,да
Сочи,13,12,74,767,1.88,пасмурно,10000,,100,13,13,16.10.2025 04:40:27,2025-10-16T04:40:27.260933,Южный,Май-Октябрь,UTC+3,400000,0.21,домашний отдых,да
Казань,5,2,70,764,3.87,переменная облачность,10000,,34,5,5,16.10.2025 06:52:01,2025-10-16T06:52:01.735074,Приволжский,Май-Сентябрь,UTC+3,1250000,4.21,домашний отдых,нет
Сочи,13,12,74,767,1.88,небольшой дождь,10000,,100,13,13,16.10.2025 03:16:44,2025-10-16T03:16:44.076463,Южный,Май-Октябрь,UTC+3,400000,0.21,домашний отдых,да
Санкт-Петербург,9,6,92,753,5.0,пасмурно,10000,,100,9,9,16.10.2025 07:32:34,2025-10-16T07:32:34.311026,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.3,домашний отдых,нет
Москва,6,4,76,763,2.72,пасмурно,10000,,85,4,6,16.10.2025 07:32:34,2025-10-16T07:32:34.311026,Центральный,Круглогодично,UTC+3,12500000,-1.57,домашний отдых,да
Казань,6,4,65,764,3.61,небольшой дождь,10000,,52,6,6,16.10.2025 07:32:34,2025-10-16T07:32:34.311026,Приволжский,Май-Сентябрь,UTC+3,1250000,3.84,домашний отдых,нет
Казань,3,1,82,764,2.57,переменная облачность,10000,,44,3,3,16.10.2025 04:40:27,2025-10-16T04:40:27.260933,Приволжский,Май-Сентябрь,UTC+3,1250000,0.14,домашний отдых,нет
Москва,3,1,82,763,2.48,пасмурно,10000,,97,2,4,16.10.2025 05:36:14,2025-10-16T05:36:14.023784,Центральный,Круглогодично,UTC+3,12500000,-5.15,домашний отдых,да
Казань,1,-1,87,764,2.49,переменная облачность,10000,,25,1,1,16.10.2025 03:16:44,2025-10-16T03:16:44.076463,Приволжский,Май-Сентябрь,UTC+3,1250000,0.25,домашний отдых,нет
