city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp,federal_district,tourism_season,timezone,population,comfort_index,recommended_activity,tourist_season_match
Новосибирск,-1,-7,74,765,6.0,пасмурно,10000,,100,-1,-1,03.12.2025 15:28:41,2025-12-03T15:28:41.154816,Сибирский,Июнь-Август,UTC+7,1620000,-5.8,домашний отдых,нет
Москва,3,3,54,773,1.18,небольшая облачность,10000,,13,1,3,03.12.2025 07:26:03,2025-12-03T07:26:03.772990,Центральный,Круглогодично,UTC+3,12500000,8.98,домашний отдых,да
Казань,0,-3,85,771,2.94,облачно с прояснениями,10000,,66,0,0,03.12.2025 04:33:15,2025-12-03T04:33:15.104190,Приволжский,Май-Сентябрь,UTC+3,1250000,-3.89,домашний отдых,нет
Новосибирск,-3,-8,74,769,4.0,пасмурно,10000,,100,-3,-3,03.12.2025 04:33:15,2025-12-03T04:33:15.104190,Сибирский,Июнь-Август,UTC+7,1620000,-6.4,домашний отдых,нет
Москва,3,3,53,773,0.87,небольшая облачность,10000,,14,1,3,03.12.2025 08:35:00,2025-12-03T08:35:00.429401,Центральный,Круглогодично,UTC+3,12500000,9.11,домашний отдых,да
Новосибирск,-3,-9,80,770,5.0,пасмурно,10000,,100,-3,-3,03.12.2025 03:21:17,2025-12-03T03:21:17.677304,Сибирский,Июнь-Август,UTC+7,1620000,-7.7,домашний отдых,нет
Новосибирск,-2,-7,69,769,4.0,пасмурно,10000,,100,-2,-2,03.12.2025 05:24:32,2025-12-03T05:24:32.178651,Сибирский,Июнь-Август,UTC+7,1620000,-5.0,домашний отдых,нет
Москва,2,2,62,773,0.91,небольшая облачность,10000,,11,0,3,03.12.2025 04:33:15,2025-12-03T04:33:15.104190,Центральный,Круглогодично,UTC+3,12500000,7.21,домашний отдых,да
Москва,2,2,63,773,0.91,небольшая облачность,10000,,11,0,2,03.12.2025 05:24:32,2025-12-03T05:24:32.178651,Центральный,Круглогодично,UTC+3,12500000,7.01,домашний отдых,да
Сочи,8,6,80,770,2.59,ясно,10000,,10,8,8,03.12.2025 04:33:15,2025-12-03T04:33:15.104190,Южный,Май-Октябрь,UTC+3,400000,5.94,домашний отдых,нет
Санкт-Петербург,1,-4,90,767,6.0,пасмурно,10000,,100,1,1,03.12.2025 05:24:32,2025-12-03T05:24:32.178651,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-8.2,домашний отдых,нет
Москва,2,2,64,773,1.08,ясно,10000,,9,0,3,03.12.2025 01:55:43,2025-12-03T01:55:43.001660,Центральный,Круглогодично,UTC+3,12500000,6.99,домашний отдых,да
Москва,4,4,50,773,0.81,небольшая облачность,10000,,15,1,4,03.12.2025 10:29:37,2025-12-03T10:29:37.822838,Центральный,Круглогодично,UTC+3,12500000,10.02,культурный туризм,да
Санкт-Петербург,2,-3,88,768,5.0,облачно с прояснениями,10000,,75,1,2,03.12.2025 06:38:23,2025-12-03T06:38:23.597327,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.8,домашний отдых,нет
Москва,2,1,56,773,1.39,небольшая облачность,10000,,14,0,3,03.12.2025 06:38:23,2025-12-03T06:38:23.597327,Центральный,Круглогодично,UTC+3,12500000,8.06,домашний отдых,да
Новосибирск,-1,-7,86,765,5.0,пасмурно,10000,,100,-1,-1,03.12.2025 13:39:21,2025-12-03T13:39:21.893685,Сибирский,Июнь-Август,UTC+7,1620000,-8.1,домашний отдых,нет
Казань,1,-2,83,771,2.96,облачно с прояснениями,10000,,73,1,1,03.12.2025 07:26:03,2025-12-03T07:26:03.772990,Приволжский,Май-Сентябрь,UTC+3,1250000,-3.8,домашний отдых,нет
Санкт-Петербург,2,-3,86,767,6.0,облачно с прояснениями,10000,,75,1,2,03.12.2025 10:29:37,2025-12-03T10:29:37.822838,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.5,домашний отдых,нет
Новосибирск,-2,-7,86,766,4.0,пасмурно,10000,,100,-2,-2,03.12.2025 10:29:37,2025-12-03T10:29:37.822838,Сибирский,Июнь-Август,UTC+7,1620000,-8.4,домашний отдых,нет
Москва,3,1,51,773,1.71,ясно,10000,,8,0,3,03.12.2025 14:27:35,2025-12-03T14:27:35.820446,Центральный,Круглогодично,UTC+3,12500000,10.03,культурный туризм,да
Казань,0,-3,85,771,2.94,облачно с прояснениями,10000,,66,0,0,03.12.2025 05:24:32,2025-12-03T05:24:32.178651,Приволжский,Май-Сентябрь,UTC+3,1250000,-3.89,домашний отдых,нет
Санкт-Петербург,1,-1,90,767,2.0,облачно с прояснениями,10000,,75,1,1,03.12.2025 13:39:21,2025-12-03T13:39:21.893685,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.3,домашний отдых,нет
Сочи,8,7,84,769,2.5,небольшая облачность,10000,,11,8,8,03.12.2025 03:21:17,2025-12-03T03:21:17.677304,Южный,Май-Октябрь,UTC+3,400000,5.05,домашний отдых,нет
Санкт-Петербург,2,0,92,767,2.0,пасмурно,10000,,100,2,2,03.12.2025 01:55:43,2025-12-03T01:55:43.001660,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.8,домашний отдых,нет
Сочи,15,14,62,769,0.74,ясно,10000,,1,15,15,03.12.2025 09:29:48,2025-12-03T09:29:48.624578,Южный,Май-Октябрь,UTC+3,400000,13.43,культурный туризм,нет
Казань,0,-3,83,770,2.92,облачно с прояснениями,10000,,64,0,0,03.12.2025 03:21:17,2025-12-03T03:21:17.677304,Приволжский,Май-Сентябрь,UTC+3,1250000,-3.29,домашний отдых,нет
Санкт-Петербург,1,-3,89,767,4.0,облачно с прояснениями,10000,,75,1,1,03.12.2025 12:54:16,2025-12-03T12:54:16.029049,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.3,домашний отдых,нет
Новосибирск,-1,-7,86,765,6.0,пасмурно,10000,,100,-1,-1,03.12.2025 14:27:35,2025-12-03T14:27:35.820446,Сибирский,Июнь-Август,UTC+7,1620000,-8.2,домашний отдых,нет
Санкт-Петербург,2,-1,87,767,3.0,облачно с прояснениями,10000,,75,1,2,03.12.2025 08:35:00,2025-12-03T08:35:00.429401,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.4,домашний отдых,нет
Казань,0,-3,82,770,2.98,пасмурно,10000,,86,0,0,03.12.2025 01:55:43,2025-12-03T01:55:43.001660,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.3,домашний отдых,нет
Сочи,13,12,80,768,2.25,ясно,10000,,0,13,13,03.12.2025 14:27:35,2025-12-03T14:27:35.820446,Южный,Май-Октябрь,UTC+3,400000,8.97,домашний отдых,нет
Санкт-Петербург,1,-2,90,767,3.0,облачно с прояснениями,10000,,75,1,1,03.12.2025 14:27:35,2025-12-03T14:27:35.820446,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.4,домашний отдых,нет
Казань,1,-2,84,771,3.34,облачно с прояснениями,10000,,81,1,1,03.12.2025 08:35:00,2025-12-03T08:35:00.429401,Приволжский,Май-Сентябрь,UTC+3,1250000,-4.83,домашний отдых,нет
Санкт-Петербург,1,-3,89,767,4.0,облачно с прояснениями,10000,,75,1,1,03.12.2025 15:28:41,2025-12-03T15:28:41.154816,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-5.3,домашний отдых,нет
Казань,1,-2,94,772,2.62,пасмурно,10000,,88,1,1,03.12.2025 15:28:41,2025-12-03T15:28:41.154816,Приволжский,Май-Сентябрь,UTC+3,1250000,-7.46,домашний отдых,нет
Санкт-Петербург,2,-1,87,767,3.0,облачно с прояснениями,10000,,75,1,2,03.12.2025 09:29:48,2025-12-03T09:29:48.624578,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.4,домашний отдых,нет
Новосибирск,-2,-7,74,767,4.0,пасмурно,10000,,100,-2,-2,03.12.2025 07:26:03,2025-12-03T07:26:03.772990,Сибирский,Июнь-Август,UTC+7,1620000,-6.0,домашний отдых,нет
Новосибирск,-2,-7,80,766,4.0,пасмурно,10000,,100,-2,-2,03.12.2025 09:29:48,2025-12-03T09:29:48.624578,Сибирский,Июнь-Август,UTC+7,1620000,-7.2,домашний отдых,нет
Москва,2,2,64,772,1.05,ясно,10000,,10,0,3,03.12.2025 03:21:17,2025-12-03T03:21:17.677304,Центральный,Круглогодично,UTC+3,12500000,6.89,домашний отдых,да
Сочи,10,9,88,769,2.29,ясно,10000,,0,10,10,03.12.2025 15:28:41,2025-12-03T15:28:41.154816,Южный,Май-Октябрь,UTC+3,400000,6.17,домашний отдых,нет
Санкт-Петербург,2,-1,87,768,3.0,облачно с прояснениями,10000,,75,1,2,03.12.2025 07:26:03,2025-12-03T07:26:03.772990,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.4,домашний отдых,нет
Казань,1,-2,86,771,2.91,пасмурно,10000,,92,1,1,03.12.2025 11:23:18,2025-12-03T11:23:18.470047,Приволжский,Май-Сентябрь,UTC+3,1250000,-6.29,домашний отдых,нет
Сочи,14,13,61,769,0.74,ясно,10000,,1,14,14,03.12.2025 08:35:00,2025-12-03T08:35:00.429401,Южный,Май-Октябрь,UTC+3,400000,13.23,культурный туризм,нет
Санкт-Петербург,1,-3,92,767,4.0,пасмурно,10000,,100,1,1,03.12.2025 04:33:15,2025-12-03T04:33:15.104190,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-8.4,домашний отдых,нет
Сочи,8,7,72,770,2.38,небольшая облачность,10000,,12,8,8,03.12.2025 01:55:43,2025-12-03T01:55:43.001660,Южный,Май-Октябрь,UTC+3,400000,7.36,домашний отдых,нет
Москва,3,1,52,773,1.65,ясно,10000,,8,1,3,03.12.2025 12:54:16,2025-12-03T12:54:16.029049,Центральный,Круглогодично,UTC+3,12500000,9.84,домашний отдых,да
Казань,1,-2,83,771,3.43,пасмурно,10000,,86,1,1,03.12.2025 09:29:48,2025-12-03T09:29:48.624578,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.14,домашний отдых,нет
Новосибирск,-2,-7,69,767,4.0,пасмурно,10000,,100,-2,-2,03.12.2025 06:38:23,2025-12-03T06:38:23.597327,Сибирский,Июнь-Август,UTC+7,1620000,-5.0,домашний отдых,нет
Санкт-Петербург,2,-2,87,767,4.0,облачно с прояснениями,10000,,75,1,2,03.12.2025 11:23:18,2025-12-03T11:23:18.470047,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-4.5,домашний отдых,нет
Казань,1,-2,83,771,3.13,пасмурно,10000,,90,1,1,03.12.2025 06:38:23,2025-12-03T06:38:23.597327,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.51,домашний отдых,нет
Москва,3,3,52,773,0.87,небольшая облачность,10000,,14,1,3,03.12.2025 09:29:48,2025-12-03T09:29:48.624578,Центральный,Круглогодично,UTC+3,12500000,9.31,домашний отдых,да
Сочи,13,12,78,769,2.25,ясно,10000,,0,13,13,03.12.2025 13:39:21,2025-12-03T13:39:21.893685,Южный,Май-Октябрь,UTC+3,400000,9.37,домашний отдых,нет
Новосибирск,-2,-7,74,767,4.0,пасмурно,10000,,100,-2,-2,03.12.2025 08:35:00,2025-12-03T08:35:00.429401,Сибирский,Июнь-Август,UTC+7,1620000,-6.0,домашний отдых,нет
Новосибирск,-3,-8,80,770,4.0,пасмурно,10000,,100,-3,-3,03.12.2025 01:55:43,2025-12-03T01:55:43.001660,Сибирский,Июнь-Август,UTC+7,1620000,-7.6,домашний отдых,нет
Санкт-Петербург,2,0,91,766,2.0,пасмурно,10000,,100,2,2,03.12.2025 03:21:17,2025-12-03T03:21:17.677304,Северо-Западный,Май-Сентябрь,UTC+3,5400000,-7.6,домашний отдых,нет
Москва,2,1,51,773,1.71,ясно,10000,,8,1,3,03.12.2025 13:39:21,2025-12-03T13:39:21.893685,Центральный,Круглогодично,UTC+3,12500000,9.63,домашний отдых,да
Сочи,15,14,66,768,1.83,ясно,10000,,0,15,15,03.12.2025 11:23:18,2025-12-03T11:23:18.470047,Южный,Май-Октябрь,UTC+3,400000,12.62,культурный туризм,нет
Сочи,7,5,92,770,2.59,ясно,10000,,10,7,7,03.12.2025 05:24:32,2025-12-03T05:24:32.178651,Южный,Май-Октябрь,UTC+3,400000,3.14,домашний отдых,нет
Казань,1,-2,93,772,2.62,пасмурно,10000,,93,1,1,03.12.2025 13:39:21,2025-12-03T13:39:21.893685,Приволжский,Май-Сентябрь,UTC+3,1250000,-7.76,домашний отдых,нет
Сочи,12,11,74,770,1.53,ясно,10000,,3,12,12,03.12.2025 07:26:03,2025-12-03T07:26:03.772990,Южный,Май-Октябрь,UTC+3,400000,9.55,домашний отдых,нет
Сочи,10,9,74,770,1.67,ясно,10000,,2,10,10,03.12.2025 06:38:23,2025-12-03T06:38:23.597327,Южный,Май-Октябрь,UTC+3,400000,8.83,домашний отдых,нет
Новосибирск,-1,-7,86,766,5.0,пасмурно,10000,,100,-1,-1,03.12.2025 12:54:16,2025-12-03T12:54:16.029049,Сибирский,Июнь-Август,UTC+7,1620000,-8.1,домашний отдых,нет
Москва,3,3,50,773,0.94,небольшая облачность,10000,,15,1,3,03.12.2025 11:23:18,2025-12-03T11:23:18.470047,Центральный,Круглогодично,UTC+3,12500000,9.61,домашний отдых,да
Новосибирск,-2,-7,86,766,4.0,пасмурно,10000,,100,-2,-2,03.12.2025 11:23:18,2025-12-03T11:23:18.470047,Сибирский,Июнь-Август,UTC+7,1620000,-8.4,домашний отдых,нет
Сочи,14,13,73,769,2.03,ясно,10000,,0,14,14,03.12.2025 12:54:16,2025-12-03T12:54:16.029049,Южный,Май-Октябрь,UTC+3,400000,10.8,культурный туризм,нет
Казань,1,-2,93,772,2.62,пасмурно,10000,,93,1,1,03.12.2025 14:27:35,2025-12-03T14:27:35.820446,Приволжский,Май-Сентябрь,UTC+3,1250000,-7.76,домашний отдых,нет
Казань,1,-2,92,772,2.76,пасмурно,10000,,100,1,1,03.12.2025 12:54:16,2025-12-03T12:54:16.029049,Приволжский,Май-Сентябрь,UTC+3,1250000,-8.28,домашний отдых,нет
Сочи,15,14,63,768,1.46,ясно,10000,,1,15,15,03.12.2025 10:29:37,2025-12-03T10:29:37.822838,Южный,Май-Октябрь,UTC+3,400000,13.15,культурный туризм,нет
Москва,2,0,53,773,1.68,ясно,10000,,7,1,2,03.12.2025 15:28:41,2025-12-03T15:28:41.154816,Центральный,Круглогодично,UTC+3,12500000,9.33,домашний отдых,да
Казань,1,-2,83,771,3.02,пасмурно,10000,,90,1,1,03.12.2025 10:29:37,2025-12-03T10:29:37.822838,Приволжский,Май-Сентябрь,UTC+3,1250000,-5.5,домашний отдых,нет
