city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Москва,1,-2,66,754,2.83,снег,183.0,,100,0,1,15.11.2025 09:21:44,2025-11-15T09:21:44.323432
Сочи,10,9,70,762,3.17,облачно с прояснениями,10000.0,,63,10,10,15.11.2025 01:49:12,2025-11-15T01:49:12.578591
Москва,1,-1,71,754,2.2,снег,,,100,0,1,15.11.2025 01:49:12,2025-11-15T01:49:12.578591
Москва,2,0,63,753,2.15,дождь,22.0,,100,0,2,15.11.2025 07:20:20,2025-11-15T07:20:20.798971
Сочи,16,15,68,760,0.94,пасмурно,10000.0,,99,16,16,15.11.2025 11:17:55,2025-11-15T11:17:55.261613
Сочи,11,10,83,762,2.3,переменная облачность,10000.0,,45,11,11,15.11.2025 17:18:00,2025-11-15T17:18:00.852578
Москва,1,-2,62,754,3.4,снег,3371.0,,100,0,1,15.11.2025 10:23:00,2025-11-15T10:23:00.365375
Санкт-Петербург,0,-5,93,756,5.0,облачно с прояснениями,10000.0,,75,0,0,15.11.2025 22:18:58,2025-11-15T22:18:58.333241
Казань,5,1,83,753,7.43,небольшой дождь,10000.0,,100,5,5,15.11.2025 08:28:08,2025-11-15T08:28:08.557741
Новосибирск,-4,-11,80,778,6.0,ясно,10000.0,,0,-4,-4,15.11.2025 13:27:46,2025-11-15T13:27:46.097770
Москва,2,0,67,753,2.13,небольшой дождь,36.0,,100,0,2,15.11.2025 08:28:08,2025-11-15T08:28:08.557741
Новосибирск,-2,-8,64,777,5.0,ясно,10000.0,,0,-2,-2,15.11.2025 19:16:33,2025-11-15T19:16:33.444175
Казань,5,1,77,752,8.24,небольшой дождь,10000.0,,100,5,5,15.11.2025 10:23:00,2025-11-15T10:23:00.365375
Санкт-Петербург,-1,-4,80,755,3.0,облачно с прояснениями,10000.0,,75,-1,-1,15.11.2025 08:28:08,2025-11-15T08:28:08.557741
Сочи,10,9,87,764,2.92,облачно с прояснениями,10000.0,,76,10,10,15.11.2025 23:21:10,2025-11-15T23:21:10.739647
Санкт-Петербург,-1,-6,79,756,6.0,облачно с прояснениями,10000.0,,75,-1,-1,15.11.2025 10:23:00,2025-11-15T10:23:00.365375
Новосибирск,-2,-8,64,776,6.0,ясно,10000.0,,0,-2,-2,15.11.2025 18:30:23,2025-11-15T18:30:23.176621
Казань,4,-1,81,752,7.82,небольшой дождь,10000.0,,100,4,4,15.11.2025 09:21:44,2025-11-15T09:21:44.323432
Новосибирск,-3,-10,74,778,6.0,ясно,10000.0,,0,-3,-3,15.11.2025 15:21:48,2025-11-15T15:21:48.729449
Сочи,17,17,67,761,0.82,пасмурно,10000.0,,98,17,17,15.11.2025 10:23:00,2025-11-15T10:23:00.365375
Санкт-Петербург,0,-5,93,756,5.0,облачно с прояснениями,10000.0,,75,0,0,15.11.2025 20:23:35,2025-11-15T20:23:35.931168
Новосибирск,-2,-8,64,777,5.0,ясно,10000.0,,0,-2,-2,15.11.2025 16:26:28,2025-11-15T16:26:28.042539
Сочи,11,10,85,762,1.77,переменная облачность,10000.0,,50,11,11,15.11.2025 19:16:33,2025-11-15T19:16:33.444175
Москва,1,-1,68,753,1.95,снег,,,100,0,1,15.11.2025 03:10:30,2025-11-15T03:10:30.585688
Москва,-1,-6,54,761,4.62,ясно,10000.0,,9,-2,-1,15.11.2025 19:16:33,2025-11-15T19:16:33.444175
Новосибирск,-2,-8,64,777,5.0,ясно,10000.0,,0,-2,-2,15.11.2025 20:23:35,2025-11-15T20:23:35.931168
Санкт-Петербург,0,-5,91,756,5.0,облачно с прояснениями,10000.0,,75,0,0,15.11.2025 18:30:23,2025-11-15T18:30:23.176621
