city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Новосибирск,-7,-11,100,770,2.0,плотный туман,100,,75,-7,-7,25.10.2025 01:45:24,2025-10-25T01:45:24.993986
Санкт-Петербург,9,9,97,749,2.0,плотный туман,1000,,100,9,9,25.10.2025 01:45:24,2025-10-25T01:45:24.993986
Москва,9,6,72,757,3.88,пасмурно,10000,,100,8,9,25.10.2025 01:45:24,2025-10-25T01:45:24.993986
Сочи,17,17,75,758,3.54,пасмурно,10000,,100,17,17,25.10.2025 01:45:24,2025-10-25T01:45:24.993986
Казань,5,3,78,765,2.5,пасмурно,10000,,100,5,5,25.10.2025 01:45:24,2025-10-25T01:45:24.993986
