city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Сочи,9,7,76,766,3.14,пасмурно,10000,,99,9,9,05.11.2025 04:27:59,2025-11-05T04:27:59.285000
Москва,7,5,90,770,2.38,облачно с прояснениями,10000,,56,4,7,05.11.2025 07:23:24,2025-11-05T07:23:24.253124
Казань,7,5,87,770,3.13,пасмурно,10000,,100,7,7,05.11.2025 06:36:00,2025-11-05T06:36:00.905846
Санкт-Петербург,11,11,92,761,4.0,пасмурно,10000,,100,11,11,05.11.2025 06:36:00,2025-11-05T06:36:00.905846
Санкт-Петербург,11,11,93,761,4.0,облачно с прояснениями,10000,,75,11,11,05.11.2025 07:23:24,2025-11-05T07:23:24.253124
Казань,6,2,86,768,6.86,пасмурно,10000,,100,6,6,05.11.2025 03:14:49,2025-11-05T03:14:49.464535
Сочи,11,10,73,766,3.26,пасмурно,10000,,98,11,11,05.11.2025 03:14:49,2025-11-05T03:14:49.464535
Новосибирск,-8,-14,86,772,3.0,пасмурно,10000,,100,-8,-8,05.11.2025 04:27:59,2025-11-05T04:27:59.285000
Сочи,17,16,62,767,2.25,пасмурно,10000,,100,17,17,05.11.2025 07:23:24,2025-11-05T07:23:24.253124
Казань,6,3,83,768,5.6,пасмурно,10000,,100,6,6,05.11.2025 04:27:59,2025-11-05T04:27:59.285000
Москва,5,3,81,770,2.0,облачно с прояснениями,10000,,59,4,5,05.11.2025 04:27:59,2025-11-05T04:27:59.285000
Новосибирск,-8,-14,93,773,3.0,небольшой снег,10000,,100,-8,-8,05.11.2025 06:36:00,2025-11-05T06:36:00.905846
Санкт-Петербург,9,8,93,759,3.0,пасмурно,10000,,100,9,10,05.11.2025 03:14:49,2025-11-05T03:14:49.464535
Санкт-Петербург,11,10,93,760,4.0,пасмурно,10000,,100,10,11,05.11.2025 04:27:59,2025-11-05T04:27:59.285000
Санкт-Петербург,9,7,92,761,4.0,пасмурно,10000,,100,9,9,05.11.2025 01:53:07,2025-11-05T01:53:07.860551
Москва,6,4,73,770,2.03,облачно с прояснениями,10000,,73,2,6,05.11.2025 03:14:49,2025-11-05T03:14:49.464535
Санкт-Петербург,11,10,93,759,4.0,пасмурно,10000,,100,11,11,05.11.2025 05:24:43,2025-11-05T05:24:43.182591
Новосибирск,-9,-16,86,771,4.0,облачно с прояснениями,10000,,75,-9,-9,05.11.2025 03:14:49,2025-11-05T03:14:49.464535
Москва,3,2,90,770,2.08,облачно с прояснениями,10000,,52,2,4,05.11.2025 05:24:43,2025-11-05T05:24:43.182591
Казань,6,3,84,769,4.06,пасмурно,10000,,100,6,6,05.11.2025 05:24:43,2025-11-05T05:24:43.182591
Казань,7,5,87,770,3.28,пасмурно,10000,,100,7,7,05.11.2025 07:23:24,2025-11-05T07:23:24.253124
Новосибирск,-9,-16,86,771,4.0,облачно с прояснениями,10000,,75,-9,-9,05.11.2025 01:53:07,2025-11-05T01:53:07.860551
Москва,4,2,75,770,2.46,ясно,10000,,9,4,4,05.11.2025 06:36:00,2025-11-05T06:36:00.905846
Новосибирск,-7,-12,86,773,3.0,пасмурно,10000,,100,-7,-7,05.11.2025 07:23:24,2025-11-05T07:23:24.253124
Казань,5,1,85,767,7.16,пасмурно,10000,,100,5,5,05.11.2025 01:53:07,2025-11-05T01:53:07.860551
Сочи,15,14,62,767,2.61,пасмурно,10000,,87,15,15,05.11.2025 06:36:00,2025-11-05T06:36:00.905846
Новосибирск,-8,-14,86,772,3.0,небольшой снег,10000,,100,-8,-8,05.11.2025 05:24:43,2025-11-05T05:24:43.182591
Москва,6,5,74,770,1.74,пасмурно,10000,,92,5,6,05.11.2025 01:53:07,2025-11-05T01:53:07.860551
Сочи,10,9,72,767,2.87,пасмурно,10000,,99,10,10,05.11.2025 05:24:43,2025-11-05T05:24:43.182591
Сочи,10,9,74,767,3.77,пасмурно,10000,,100,10,10,05.11.2025 01:53:07,2025-11-05T01:53:07.860551
