city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Казань,7,4,92,759,5.04,пасмурно,10000,,100,7,7,07.11.2025 06:35:46,2025-11-07T06:35:46.783292
Казань,8,6,90,759,5.04,пасмурно,10000,,100,8,8,07.11.2025 09:24:42,2025-11-07T09:24:42.704590
Сочи,18,17,55,764,1.18,облачно с прояснениями,10000,,75,18,18,07.11.2025 07:23:29,2025-11-07T07:23:29.893347
Москва,10,8,75,763,2.87,пасмурно,10000,,100,9,10,07.11.2025 10:26:22,2025-11-07T10:26:22.911813
Новосибирск,-1,-7,80,764,6.0,небольшой снег,10000,,100,-1,-1,07.11.2025 07:23:29,2025-11-07T07:23:29.893347
Новосибирск,-1,-6,86,764,4.0,снег,10000,,100,-1,-1,07.11.2025 11:20:08,2025-11-07T11:20:08.690354
Сочи,20,19,50,763,0.56,облачно с прояснениями,10000,,66,20,20,07.11.2025 09:24:42,2025-11-07T09:24:42.704590
Москва,8,6,72,763,3.85,пасмурно,10000,,100,7,8,07.11.2025 04:27:27,2025-11-07T04:27:27.529005
Москва,8,6,70,763,4.17,пасмурно,10000,,100,7,8,07.11.2025 01:51:42,2025-11-07T01:51:42.233175
Санкт-Петербург,10,10,96,758,2.0,облачно с прояснениями,10000,,75,10,10,07.11.2025 05:23:39,2025-11-07T05:23:39.675066
Санкт-Петербург,10,10,96,760,2.0,пасмурно,10000,,100,10,10,07.11.2025 01:51:42,2025-11-07T01:51:42.233175
Сочи,10,9,75,764,3.08,облачно с прояснениями,10000,,65,10,10,07.11.2025 05:23:39,2025-11-07T05:23:39.675066
Санкт-Петербург,11,10,96,760,2.0,пасмурно,7000,,100,10,11,07.11.2025 06:35:46,2025-11-07T06:35:46.783292
Москва,10,8,62,763,2.97,пасмурно,10000,,100,8,10,07.11.2025 11:20:08,2025-11-07T11:20:08.690354
Санкт-Петербург,11,11,96,758,3.0,пасмурно,10000,,100,11,11,07.11.2025 09:24:42,2025-11-07T09:24:42.704590
Санкт-Петербург,11,10,96,758,1.0,пасмурно,6000,,100,11,11,07.11.2025 07:23:29,2025-11-07T07:23:29.893347
Новосибирск,-2,-8,86,764,6.0,небольшой снег,10000,,100,-2,-2,07.11.2025 06:35:46,2025-11-07T06:35:46.783292
Сочи,19,18,46,763,1.84,облачно с прояснениями,10000,,61,19,19,07.11.2025 11:20:08,2025-11-07T11:20:08.690354
Новосибирск,-1,-6,86,764,4.0,небольшой снег,10000,,100,-1,-1,07.11.2025 10:26:22,2025-11-07T10:26:22.911813
Санкт-Петербург,11,10,95,758,2.0,облачно с прояснениями,10000,,75,10,11,07.11.2025 04:27:27,2025-11-07T04:27:27.529005
Москва,9,8,64,764,2.8,пасмурно,10000,,100,8,9,07.11.2025 08:32:12,2025-11-07T08:32:12.008308
Казань,7,4,92,759,5.45,пасмурно,10000,,100,7,7,07.11.2025 05:23:39,2025-11-07T05:23:39.675066
Сочи,20,19,44,763,1.54,облачно с прояснениями,10000,,72,20,20,07.11.2025 10:26:22,2025-11-07T10:26:22.911813
Новосибирск,-3,-9,86,766,5.0,снег,10000,,100,-3,-3,07.11.2025 03:14:22,2025-11-07T03:14:22.107056
Москва,9,7,67,763,3.03,пасмурно,10000,,100,7,9,07.11.2025 07:23:29,2025-11-07T07:23:29.893347
Новосибирск,-2,-8,80,765,6.0,небольшой снег,10000,,100,-2,-2,07.11.2025 05:23:39,2025-11-07T05:23:39.675066
Казань,8,5,85,759,5.38,пасмурно,10000,,100,8,8,07.11.2025 11:20:08,2025-11-07T11:20:08.690354
Санкт-Петербург,11,10,96,758,2.0,пасмурно,10000,,100,11,11,07.11.2025 08:32:12,2025-11-07T08:32:12.008308
