city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Санкт-Петербург,0,-4,92,754,4.0,пасмурно,10000,,100,0,0,25.11.2025 04:30:31,2025-11-25T04:30:31.022713
Новосибирск,-6,-12,86,775,4.0,небольшой снег,3800,,100,-6,-6,25.11.2025 05:25:47,2025-11-25T05:25:47.168813
Санкт-Петербург,1,-4,91,753,5.0,пасмурно,10000,,100,0,1,25.11.2025 05:25:47,2025-11-25T05:25:47.168813
Санкт-Петербург,0,-6,92,755,7.0,пасмурно,10000,,100,0,0,25.11.2025 06:37:33,2025-11-25T06:37:33.624907
Новосибирск,-6,-12,79,775,4.0,пасмурно,10000,,100,-6,-6,25.11.2025 03:18:35,2025-11-25T03:18:35.336989
Москва,1,-4,70,762,4.0,пасмурно,10000,,100,-1,1,25.11.2025 06:37:33,2025-11-25T06:37:33.624907
Казань,6,3,92,758,5.91,пасмурно,10000,,100,6,6,25.11.2025 04:30:31,2025-11-25T04:30:31.022713
Сочи,14,13,70,766,1.23,пасмурно,10000,,100,14,14,25.11.2025 06:37:33,2025-11-25T06:37:33.624907
Санкт-Петербург,0,-4,92,753,4.0,облачно с прояснениями,10000,,75,0,0,25.11.2025 01:53:58,2025-11-25T01:53:58.701509
Казань,5,1,92,758,6.03,небольшой дождь,10000,,100,5,5,25.11.2025 01:53:58,2025-11-25T01:53:58.701509
Москва,0,-4,64,761,4.6,пасмурно,10000,,99,0,1,25.11.2025 04:30:31,2025-11-25T04:30:31.022713
Сочи,10,9,74,766,2.51,пасмурно,10000,,100,10,10,25.11.2025 05:25:47,2025-11-25T05:25:47.168813
Москва,1,-4,68,761,4.55,пасмурно,10000,,99,0,1,25.11.2025 01:53:58,2025-11-25T01:53:58.701509
Москва,1,-4,64,761,4.76,пасмурно,10000,,99,0,1,25.11.2025 03:18:35,2025-11-25T03:18:35.336989
Сочи,12,11,70,766,1.17,пасмурно,10000,,100,12,12,25.11.2025 01:53:58,2025-11-25T01:53:58.701509
Новосибирск,-6,-12,86,775,4.0,небольшой снег,6000,,100,-6,-6,25.11.2025 04:30:31,2025-11-25T04:30:31.022713
Сочи,11,10,75,766,2.51,пасмурно,10000,,100,11,11,25.11.2025 04:30:31,2025-11-25T04:30:31.022713
Санкт-Петербург,0,-4,92,752,4.0,пасмурно,10000,,100,0,0,25.11.2025 03:18:35,2025-11-25T03:18:35.336989
Новосибирск,-7,-12,86,775,3.0,небольшой снег,10000,,100,-7,-7,25.11.2025 01:53:58,2025-11-25T01:53:58.701509
Казань,6,3,92,758,5.94,пасмурно,10000,,100,6,6,25.11.2025 03:18:35,2025-11-25T03:18:35.336989
Сочи,11,10,72,765,2.37,пасмурно,10000,,100,11,11,25.11.2025 03:18:35,2025-11-25T03:18:35.336989
Новосибирск,-6,-13,86,774,6.0,небольшой снег,10000,,100,-6,-6,25.11.2025 06:37:33,2025-11-25T06:37:33.624907
Казань,6,2,74,761,6.39,облачно с прояснениями,10000,,61,6,6,25.11.2025 06:37:33,2025-11-25T06:37:33.624907
Казань,6,2,83,760,6.43,пасмурно,10000,,100,6,6,25.11.2025 05:25:47,2025-11-25T05:25:47.168813
Москва,0,-4,63,761,4.21,пасмурно,10000,,100,-1,0,25.11.2025 05:25:47,2025-11-25T05:25:47.168813
