city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Новосибирск,7,3,65,770,6.0,ясно,10000,,0,7,7,30.10.2025 05:23:00,2025-10-30T05:23:00.192940
Москва,9,7,67,761,3.57,облачно с прояснениями,10000,,67,7,9,30.10.2025 10:26:56,2025-10-30T10:26:56.478345
Санкт-Петербург,7,7,92,753,0.0,облачно с прояснениями,10000,,75,6,7,30.10.2025 04:27:23,2025-10-30T04:27:23.495742
Казань,6,5,84,761,1.86,пасмурно,10000,,100,6,6,30.10.2025 13:34:01,2025-10-30T13:34:01.696212
Санкт-Петербург,7,5,93,754,2.0,облачно с прояснениями,10000,,75,6,7,30.10.2025 01:54:39,2025-10-30T01:54:39.938350
Сочи,11,10,78,770,2.89,небольшая облачность,10000,,12,11,11,30.10.2025 16:31:18,2025-10-30T16:31:18.518232
Санкт-Петербург,7,5,93,753,2.0,облачно с прояснениями,10000,,75,6,7,30.10.2025 03:14:56,2025-10-30T03:14:56.509548
Казань,4,3,82,761,1.87,пасмурно,10000,,95,4,4,30.10.2025 15:27:33,2025-10-30T15:27:33.962856
Санкт-Петербург,7,4,89,756,4.0,пасмурно,10000,,100,6,7,30.10.2025 16:31:18,2025-10-30T16:31:18.518232
Сочи,10,9,83,770,2.89,небольшая облачность,10000,,12,10,10,30.10.2025 17:21:28,2025-10-30T17:21:28.393230
Новосибирск,6,3,70,769,4.0,ясно,10000,,0,6,6,30.10.2025 14:24:44,2025-10-30T14:24:44.827385
Москва,7,5,70,761,2.59,пасмурно,10000,,99,6,7,30.10.2025 16:31:18,2025-10-30T16:31:18.518232
Новосибирск,7,3,61,769,5.0,ясно,10000,,0,7,7,30.10.2025 12:49:49,2025-10-30T12:49:49.814992
Казань,4,3,83,761,1.95,пасмурно,10000,,96,4,4,30.10.2025 16:31:18,2025-10-30T16:31:18.518232
Новосибирск,8,4,61,769,6.0,ясно,10000,,0,8,8,30.10.2025 07:22:28,2025-10-30T07:22:28.229968
Новосибирск,9,6,57,769,5.0,ясно,10000,,0,9,9,30.10.2025 08:31:09,2025-10-30T08:31:09.515357
Новосибирск,8,5,61,769,5.0,ясно,10000,,0,8,8,30.10.2025 06:34:41,2025-10-30T06:34:41.661144
Санкт-Петербург,6,6,90,755,0.0,переменная облачность,10000,,40,4,6,30.10.2025 06:34:41,2025-10-30T06:34:41.661144
Казань,7,6,84,761,1.86,пасмурно,10000,,100,7,7,30.10.2025 12:49:49,2025-10-30T12:49:49.814992
Сочи,10,9,79,770,2.92,ясно,10000,,2,10,10,30.10.2025 18:34:23,2025-10-30T18:34:23.124604
Сочи,9,7,85,769,4.56,небольшой дождь,10000,,100,9,9,30.10.2025 04:27:23,2025-10-30T04:27:23.495742
Сочи,15,14,63,769,3.12,небольшая облачность,10000,,11,15,15,30.10.2025 14:24:44,2025-10-30T14:24:44.827385
Казань,6,4,84,760,2.81,облачно с прояснениями,10000,,81,6,6,30.10.2025 10:26:56,2025-10-30T10:26:56.478345
Санкт-Петербург,7,5,89,756,2.0,облачно с прояснениями,10000,,75,6,7,30.10.2025 08:31:09,2025-10-30T08:31:09.515357
Санкт-Петербург,7,5,87,755,2.0,облачно с прояснениями,10000,,75,7,7,30.10.2025 10:26:56,2025-10-30T10:26:56.478345
Москва,7,6,58,762,2.2,пасмурно,10000,,100,6,8,30.10.2025 17:21:28,2025-10-30T17:21:28.393230
Москва,7,6,72,762,2.1,пасмурно,10000,,100,6,8,30.10.2025 18:34:23,2025-10-30T18:34:23.124604
