city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Санкт-Петербург,9,7,84,762,3.0,облачно с прояснениями,10000,,75,8,9,04.11.2025 13:37:16,2025-11-04T13:37:16.329238
Санкт-Петербург,8,5,91,761,5.0,пасмурно,10000,,100,8,8,04.11.2025 08:32:49,2025-11-04T08:32:49.876196
Сочи,12,12,86,766,2.9,пасмурно,10000,,100,12,12,04.11.2025 17:19:25,2025-11-04T17:19:25.507151
Новосибирск,0,-3,100,761,2.0,туман,2200,,75,0,0,04.11.2025 03:13:32,2025-11-04T03:13:32.435004
Новосибирск,-7,-12,93,767,3.0,небольшой снег,10000,,100,-7,-7,04.11.2025 19:19:11,2025-11-04T19:19:11.569284
Казань,2,-3,81,771,6.84,небольшой дождь,10000,,100,2,2,04.11.2025 05:24:10,2025-11-04T05:24:10.359722
Санкт-Петербург,8,5,89,760,4.0,облачно с прояснениями,10000,,75,8,8,04.11.2025 09:27:34,2025-11-04T09:27:34.279114
Казань,3,-2,90,767,8.04,небольшой дождь,10000,,100,3,3,04.11.2025 21:21:58,2025-11-04T21:21:58.670679
Москва,8,7,68,768,1.78,небольшая облачность,10000,,22,7,9,04.11.2025 21:21:58,2025-11-04T21:21:58.670679
Санкт-Петербург,8,6,92,760,4.0,пасмурно,10000,,100,8,8,04.11.2025 23:21:34,2025-11-04T23:21:34.075316
Сочи,19,18,52,765,0.75,пасмурно,10000,,93,19,19,04.11.2025 09:27:34,2025-11-04T09:27:34.279114
Москва,8,5,72,762,5.61,пасмурно,10000,,100,7,8,04.11.2025 06:36:30,2025-11-04T06:36:30.502678
Москва,9,8,74,768,2.02,переменная облачность,10000,,25,7,9,04.11.2025 20:27:27,2025-11-04T20:27:27.152015
Сочи,18,17,54,764,0.64,пасмурно,10000,,96,18,18,04.11.2025 11:21:45,2025-11-04T11:21:45.980362
