city_name,temperature,feels_like,humidity,pressure,wind_speed,weather_description,visibility,pop,clouds,temp_min,temp_max,collection_time,timestamp
Сочи,11,10,60,767,3.41,небольшая облачность,10000,,19,11,11,01.11.2025 05:22:05,2025-11-01T05:22:05.699439
Москва,6,4,54,763,2.91,пасмурно,10000,,100,5,7,01.11.2025 07:20:10,2025-11-01T07:20:10.999278
Новосибирск,12,10,54,752,8.0,ясно,10000,,0,12,12,01.11.2025 08:27:49,2025-11-01T08:27:49.507543
Новосибирск,8,3,81,752,11.0,небольшой дождь,10000,,75,8,8,01.11.2025 11:17:31,2025-11-01T11:17:31.455923
Казань,5,2,86,761,3.79,пасмурно,10000,,100,5,5,01.11.2025 09:21:48,2025-11-01T09:21:48.329526
Москва,6,3,59,761,3.32,пасмурно,10000,,100,5,6,01.11.2025 03:15:06,2025-11-01T03:15:06.409596
Казань,5,3,82,763,3.16,пасмурно,10000,,86,5,5,01.11.2025 12:42:32,2025-11-01T12:42:32.839934
Казань,5,2,86,761,3.66,пасмурно,10000,,100,5,5,01.11.2025 08:27:49,2025-11-01T08:27:49.507543
Москва,8,6,54,764,1.82,пасмурно,10000,,100,6,8,01.11.2025 11:17:31,2025-11-01T11:17:31.455923
Москва,8,6,51,764,2.14,пасмурно,10000,,100,6,8,01.11.2025 10:22:22,2025-11-01T10:22:22.716973
Санкт-Петербург,6,6,94,762,1.0,небольшая морось,2900,,100,6,6,01.11.2025 07:20:10,2025-11-01T07:20:10.999278
Санкт-Петербург,6,4,93,761,2.0,пасмурно,5000,,100,5,6,01.11.2025 01:54:37,2025-11-01T01:54:37.440299
Казань,5,3,87,761,3.61,пасмурно,10000,,100,5,5,01.11.2025 10:22:22,2025-11-01T10:22:22.716973
Санкт-Петербург,7,7,95,762,1.0,туман,5000,,75,7,7,01.11.2025 10:22:22,2025-11-01T10:22:22.716973
Санкт-Петербург,6,6,94,761,1.0,пасмурно,6000,,100,5,6,01.11.2025 06:32:02,2025-11-01T06:32:02.803915
Казань,4,1,89,761,3.47,пасмурно,10000,,100,4,4,01.11.2025 07:20:10,2025-11-01T07:20:10.999278
Казань,5,3,86,762,3.49,пасмурно,10000,,100,5,5,01.11.2025 11:17:31,2025-11-01T11:17:31.455923
Москва,6,3,74,761,3.4,пасмурно,10000,,100,5,6,01.11.2025 05:22:05,2025-11-01T05:22:05.699439
Новосибирск,10,6,57,752,7.0,ясно,10000,,0,10,10,01.11.2025 07:20:10,2025-11-01T07:20:10.999278
Сочи,17,17,76,767,2.27,ясно,10000,,3,17,17,01.11.2025 12:42:32,2025-11-01T12:42:32.839934
Новосибирск,13,11,54,752,10.0,облачно с прояснениями,10000,,75,13,13,01.11.2025 09:21:48,2025-11-01T09:21:48.329526
Сочи,9,7,60,766,3.82,небольшая облачность,10000,,15,9,9,01.11.2025 01:54:37,2025-11-01T01:54:37.440299
Сочи,9,7,67,766,3.52,небольшая облачность,10000,,19,9,9,01.11.2025 04:25:36,2025-11-01T04:25:36.295546
Казань,3,0,89,761,3.16,пасмурно,10000,,100,3,3,01.11.2025 06:32:02,2025-11-01T06:32:02.803915
Казань,4,2,88,761,2.73,пасмурно,10000,,100,4,4,01.11.2025 01:54:37,2025-11-01T01:54:37.440299
Москва,6,3,73,762,3.03,пасмурно,10000,,100,5,6,01.11.2025 06:32:02,2025-11-01T06:32:02.803915
Сочи,18,18,66,767,4.0,переменная облачность,10000,,34,18,18,01.11.2025 09:21:48,2025-11-01T09:21:48.329526
Сочи,14,13,61,767,3.44,переменная облачность,10000,,44,14,14,01.11.2025 07:20:10,2025-11-01T07:20:10.999278
Санкт-Петербург,7,7,95,761,1.0,облачно с прояснениями,7000,,75,7,7,01.11.2025 11:17:31,2025-11-01T11:17:31.455923
Казань,3,1,90,761,2.82,пасмурно,10000,,100,3,3,01.11.2025 04:25:36,2025-11-01T04:25:36.295546
Новосибирск,11,9,62,751,13.0,облачно с прояснениями,10000,,75,11,11,01.11.2025 10:22:22,2025-11-01T10:22:22.716973
Новосибирск,6,0,81,755,14.0,небольшой проливной дождь,10000,,75,6,6,01.11.2025 12:42:32,2025-11-01T12:42:32.839934
Москва,8,7,53,765,1.72,пасмурно,10000,,100,6,8,01.11.2025 12:42:32,2025-11-01T12:42:32.839934
Новосибирск,4,-1,70,756,6.0,ясно,10000,,0,4,4,01.11.2025 01:54:37,2025-11-01T01:54:37.440299
Москва,8,6,54,764,2.49,пасмурно,10000,,100,6,8,01.11.2025 09:21:48,2025-11-01T09:21:48.329526
Сочи,17,16,56,767,3.64,переменная облачность,10000,,44,17,17,01.11.2025 08:27:49,2025-11-01T08:27:49.507543
Санкт-Петербург,7,7,95,764,1.0,облачно с прояснениями,8000,,75,7,7,01.11.2025 12:42:32,2025-11-01T12:42:32.839934
Новосибирск,5,1,65,755,5.0,ясно,10000,,0,5,5,01.11.2025 03:15:06,2025-11-01T03:15:06.409596
Санкт-Петербург,6,5,95,761,2.0,небольшая морось,4900,,100,6,6,01.11.2025 09:21:48,2025-11-01T09:21:48.329526
Москва,5,3,60,760,3.19,пасмурно,10000,,100,5,6,01.11.2025 01:54:37,2025-11-01T01:54:37.440299
Сочи,18,18,70,767,3.42,небольшая облачность,10000,,22,18,18,01.11.2025 11:17:31,2025-11-01T11:17:31.455923
Санкт-Петербург,6,4,94,761,2.0,пасмурно,5000,,100,5,6,01.11.2025 04:25:36,2025-11-01T04:25:36.295546
Сочи,12,11,66,767,3.1,переменная облачность,10000,,29,12,12,01.11.2025 06:32:02,2025-11-01T06:32:02.803915
Новосибирск,10,6,53,752,8.0,ясно,10000,,0,10,10,01.11.2025 06:32:02,2025-11-01T06:32:02.803915
Москва,6,3,74,761,3.42,небольшой дождь,10000,,100,5,6,01.11.2025 04:25:36,2025-11-01T04:25:36.295546
Казань,3,1,91,761,2.88,пасмурно,10000,,100,3,3,01.11.2025 05:22:05,2025-11-01T05:22:05.699439
Сочи,8,6,68,766,3.64,небольшая облачность,10000,,19,8,8,01.11.2025 03:15:06,2025-11-01T03:15:06.409596
Новосибирск,7,3,61,755,6.0,ясно,10000,,0,7,7,01.11.2025 04:25:36,2025-11-01T04:25:36.295546
Москва,7,5,70,763,2.67,пасмурно,10000,,100,5,7,01.11.2025 08:27:49,2025-11-01T08:27:49.507543
Сочи,18,18,67,767,3.74,переменная облачность,10000,,27,18,18,01.11.2025 10:22:22,2025-11-01T10:22:22.716973
Новосибирск,9,5,57,754,6.0,ясно,10000,,0,9,9,01.11.2025 05:22:05,2025-11-01T05:22:05.699439
Санкт-Петербург,6,6,94,761,1.0,небольшая морось,3100,,100,6,6,01.11.2025 08:27:49,2025-11-01T08:27:49.507543
Санкт-Петербург,6,4,93,760,2.0,небольшой проливной дождь,4300,,100,5,6,01.11.2025 03:15:06,2025-11-01T03:15:06.409596
Санкт-Петербург,6,4,94,761,2.0,пасмурно,5000,,100,5,6,01.11.2025 05:22:05,2025-11-01T05:22:05.699439
Казань,4,2,88,761,2.77,пасмурно,10000,,100,4,4,01.11.2025 03:15:06,2025-11-01T03:15:06.409596
